block,TOT_PR,time,year,month,index,to_change,constraint_begin,constraint_end,level_0
0,0.001813681,2079-06-27 05:00:00,2079,6,0,0,,,
1,0.0015381167,2079-06-02 22:00:00,2079,6,1,0,,,
2,0.0031681317,2079-06-27 16:00:00,2079,6,2,0,,,
3,0.0037717845,2079-06-02 15:00:00,2079,6,3,0,,,
4,0.0026601627,2079-06-27 18:00:00,2079,6,4,0,,,
5,0.0034181941,2079-06-13 05:00:00,2079,6,5,0,,,
6,0.004358088,2079-06-27 05:00:00,2079,6,6,0,,,
7,0.004126078,2079-06-02 15:00:00,2079,6,7,0,,,
8,0.002009414,2079-06-02 16:00:00,2079,6,8,0,,,
9,0.0039817416,2079-06-02 18:00:00,2079,6,9,0,,,
10,0.0030066227,2079-06-04 03:00:00,2079,6,10,0,,,
11,0.0029288481,2079-06-27 19:00:00,2079,6,11,0,,,
12,0.0054123444,2079-06-02 02:00:00,2079,6,12,0,,,
13,0.005516082,2079-06-02 03:00:00,2079,6,13,0,,,
14,0.0067147487,2079-06-02 16:00:00,2079,6,14,0,,,
15,0.0031359566,2079-06-02 17:00:00,2079,6,15,0,,,
16,0.0033474972,2079-06-27 16:00:00,2079,6,16,0,,,
17,0.00286293,2079-06-27 17:00:00,2079,6,17,0,,,
18,0.005161395,2079-06-02 15:00:00,2079,6,18,0,,,
19,0.0047716894,2079-06-01 21:00:00,2079,6,19,0,,,
20,0.0054896837,2079-06-01 22:00:00,2079,6,20,0,,,
21,0.0039248625,2079-06-02 17:00:00,2079,6,21,0,,,
22,0.004871135,2079-06-02 17:00:00,2079,6,22,0,,,
23,0.0024671669,2079-06-27 08:00:00,2079,6,23,0,,,
24,0.0058816522,2079-06-01 21:00:00,2079,6,24,0,,,
25,0.006207184,2079-06-02 16:00:00,2079,6,25,0,,,
26,0.009496872,2079-06-02 17:00:00,2079,6,26,0,,,
27,0.003893021,2079-06-02 17:00:00,2079,6,27,0,,,
28,0.008738993,2079-06-01 23:00:00,2079,6,28,0,,,
29,0.0045358306,2079-06-02 19:00:00,2079,6,29,0,,,
0,0.004224069,2079-07-06 11:00:00,2079,7,30,0,,,
1,0.0023376227,2079-07-28 12:00:00,2079,7,31,0,,,
2,0.0031633244,2079-07-31 12:00:00,2079,7,32,0,,,
3,0.0031527749,2079-07-31 13:00:00,2079,7,33,0,,,
4,0.0039706323,2079-07-31 14:00:00,2079,7,34,0,,,
6,0.0023430663,2079-07-31 16:00:00,2079,7,36,0,,,
7,0.0023794079,2079-07-06 13:00:00,2079,7,37,0,,,
8,0.0036662903,2079-07-28 13:00:00,2079,7,38,0,,,
9,0.0021184983,2079-07-28 19:00:00,2079,7,39,0,,,
10,0.003987804,2079-07-28 20:00:00,2079,7,40,0,,,
11,0.004782769,2079-07-31 15:00:00,2079,7,41,0,,,
12,0.0026190015,2079-07-05 19:00:00,2079,7,42,0,,,
13,0.0036114429,2079-07-31 18:00:00,2079,7,43,0,,,
14,0.0038245255,2079-07-28 14:00:00,2079,7,44,0,,,
15,0.0037165491,2079-07-06 17:00:00,2079,7,45,0,,,
16,0.0022509499,2079-07-28 21:00:00,2079,7,46,0,,,
17,0.002182934,2079-07-28 23:00:00,2079,7,47,0,,,
18,0.0036450727,2079-07-05 20:00:00,2079,7,48,0,,,
19,0.0014612856,2079-07-19 07:00:00,2079,7,49,0,,,
20,0.0017117071,2079-07-18 22:00:00,2079,7,50,0,,,
21,0.0027947624,2079-07-28 15:00:00,2079,7,51,0,,,
22,0.007792769,2079-07-06 15:00:00,2079,7,52,0,,,
23,0.0038675554,2079-07-28 14:00:00,2079,7,53,0,,,
24,0.004219014,2079-07-28 18:00:00,2079,7,54,0,,,
25,0.0032061085,2079-07-05 21:00:00,2079,7,55,0,,,
26,0.0042448295,2079-07-19 08:00:00,2079,7,56,0,,,
27,0.0035941857,2079-07-05 16:00:00,2079,7,57,0,,,
28,0.0053694174,2079-07-06 16:00:00,2079,7,58,0,,,
29,0.009580042,2079-07-06 16:00:00,2079,7,59,0,,,
0,0.00049153395,2079-08-07 18:00:00,2079,8,60,0,,,
1,0.0025271869,2079-08-06 18:00:00,2079,8,61,0,,,
2,0.0030099428,2079-08-06 18:00:00,2079,8,62,0,,,
3,0.0018406305,2079-08-06 19:00:00,2079,8,63,0,,,
5,0.004264633,2079-08-04 02:00:00,2079,8,65,0,,,
6,0.002453839,2079-08-08 05:00:00,2079,8,66,0,,,
7,0.0017983398,2079-08-07 19:00:00,2079,8,67,0,,,
8,0.0032862409,2079-08-06 18:00:00,2079,8,68,0,,,
9,0.0034297907,2079-08-06 19:00:00,2079,8,69,0,,,
10,0.0050266073,2079-08-06 20:00:00,2079,8,70,0,,,
11,0.004306419,2079-08-06 21:00:00,2079,8,71,0,,,
12,0.0059070657,2079-08-08 05:00:00,2079,8,72,0,,,
13,0.0024877314,2079-08-08 06:00:00,2079,8,73,0,,,
14,0.003947405,2079-08-06 19:00:00,2079,8,74,0,,,
15,0.0022795086,2079-08-06 19:00:00,2079,8,75,0,,,
16,0.0026931227,2079-08-06 16:00:00,2079,8,76,0,,,
17,0.0019564824,2079-08-06 16:00:00,2079,8,77,0,,,
18,0.002172703,2079-08-06 18:00:00,2079,8,78,0,,,
19,0.0017291832,2079-08-06 13:00:00,2079,8,79,0,,,
20,0.0054423963,2079-08-06 19:00:00,2079,8,80,0,,,
21,0.0039995913,2079-08-06 20:00:00,2079,8,81,0,,,
22,0.004249554,2079-08-06 20:00:00,2079,8,82,0,,,
23,0.003256038,2079-08-07 22:00:00,2079,8,83,0,,,
24,0.004409436,2079-08-06 18:00:00,2079,8,84,0,,,
25,0.0034647735,2079-08-06 12:00:00,2079,8,85,0,,,
26,0.004128328,2079-08-06 19:00:00,2079,8,86,0,,,
27,0.0024839889,2079-08-06 20:00:00,2079,8,87,0,,,
28,0.0074425545,2079-08-06 20:00:00,2079,8,88,0,,,
29,0.0028939405,2079-08-06 21:00:00,2079,8,89,0,,,
0,0.0012676379,2080-06-05 13:00:00,2080,6,90,0,,,
1,0.0018591295,2080-06-05 15:00:00,2080,6,91,0,,,
2,0.0023760868,2080-06-05 17:00:00,2080,6,92,0,,,
3,0.0035656744,2080-06-11 01:00:00,2080,6,93,0,,,
4,0.0016038573,2080-06-11 13:00:00,2080,6,94,0,,,
5,0.0010046388,2080-06-04 22:00:00,2080,6,95,0,,,
6,0.00109735,2080-06-05 11:00:00,2080,6,96,0,,,
7,0.0020961966,2080-06-11 09:00:00,2080,6,97,0,,,
8,0.0035332579,2080-06-11 10:00:00,2080,6,98,0,,,
9,0.0016689702,2080-06-05 18:00:00,2080,6,99,0,,,
10,0.0014812141,2080-06-04 23:00:00,2080,6,100,0,,,
11,0.0015552286,2080-06-11 13:00:00,2080,6,101,0,,,
12,0.0009436802,2080-06-05 12:00:00,2080,6,102,0,,,
13,0.0016322248,2080-06-05 10:00:00,2080,6,103,0,,,
14,0.0026528763,2080-06-05 12:00:00,2080,6,104,0,,,
15,0.0047621825,2080-06-11 11:00:00,2080,6,105,0,,,
16,0.002845782,2080-06-11 13:00:00,2080,6,106,0,,,
17,0.005557566,2080-06-11 14:00:00,2080,6,107,0,,,
18,0.0010113246,2080-06-05 08:00:00,2080,6,108,0,,,
19,0.0018257278,2080-06-09 19:00:00,2080,6,109,0,,,
20,0.0033521303,2080-06-05 11:00:00,2080,6,110,0,,,
21,0.0027063102,2080-06-05 13:00:00,2080,6,111,0,,,
22,0.0018964472,2080-06-05 14:00:00,2080,6,112,0,,,
23,0.0015835902,2080-06-11 12:00:00,2080,6,113,0,,,
24,0.0018141278,2080-06-05 06:00:00,2080,6,114,0,,,
25,0.0038603747,2080-06-05 00:00:00,2080,6,115,0,,,
26,0.0033362703,2080-06-05 10:00:00,2080,6,116,0,,,
27,0.004145084,2080-06-10 05:00:00,2080,6,117,0,,,
28,0.0016576414,2080-06-03 19:00:00,2080,6,118,0,,,
29,0.0014191237,2080-06-06 00:00:00,2080,6,119,0,,,
0,0.0015180125,2080-07-10 02:00:00,2080,7,120,0,,,
1,0.0014923007,2080-07-10 03:00:00,2080,7,121,0,,,
2,0.00061281136,2080-07-07 13:00:00,2080,7,122,0,,,
3,0.00034657042,2080-07-07 15:00:00,2080,7,123,0,,,
4,0.00029647528,2080-07-07 04:00:00,2080,7,124,0,,,
5,0.00047250825,2080-07-11 18:00:00,2080,7,125,0,,,
6,0.003400832,2080-07-04 05:00:00,2080,7,126,0,,,
7,0.0010844065,2080-07-10 04:00:00,2080,7,127,0,,,
8,0.0010582148,2080-07-07 08:00:00,2080,7,128,0,,,
9,0.0019244038,2080-07-07 15:00:00,2080,7,129,0,,,
10,0.0024089671,2080-07-07 18:00:00,2080,7,130,0,,,
11,0.0020765786,2080-07-07 19:00:00,2080,7,131,0,,,
12,0.0039476287,2080-07-04 05:00:00,2080,7,132,0,,,
13,0.00373882,2080-07-04 06:00:00,2080,7,133,0,,,
14,0.0020229311,2080-07-04 06:00:00,2080,7,134,0,,,
15,0.0017086033,2080-07-04 07:00:00,2080,7,135,0,,,
16,0.002014469,2080-07-04 12:00:00,2080,7,136,0,,,
17,0.0051801587,2080-07-27 18:00:00,2080,7,137,0,,,
18,0.0017939719,2080-07-03 21:00:00,2080,7,138,0,,,
19,0.0016297074,2080-07-04 06:00:00,2080,7,139,0,,,
20,0.0031503113,2080-07-03 19:00:00,2080,7,140,0,,,
21,0.006558537,2080-07-04 07:00:00,2080,7,141,0,,,
22,0.0022993372,2080-07-04 08:00:00,2080,7,142,0,,,
23,0.0027554852,2080-07-04 08:00:00,2080,7,143,0,,,
24,0.0030667763,2080-07-03 22:00:00,2080,7,144,0,,,
25,0.0020612886,2080-07-09 23:00:00,2080,7,145,0,,,
26,0.0012678797,2080-07-07 18:00:00,2080,7,146,0,,,
27,0.002458523,2080-07-04 04:00:00,2080,7,147,0,,,
28,0.004714191,2080-07-03 20:00:00,2080,7,148,0,,,
29,0.0016332096,2080-07-04 08:00:00,2080,7,149,0,,,
0,0.003113811,2080-08-21 16:00:00,2080,8,150,0,,,
1,0.002610307,2080-08-21 16:00:00,2080,8,151,0,,,
2,0.004721874,2080-08-21 17:00:00,2080,8,152,0,,,
3,0.0049004555,2080-08-05 04:00:00,2080,8,153,0,,,
4,0.0029902302,2080-08-05 08:00:00,2080,8,154,0,,,
5,0.003733561,2080-08-05 15:00:00,2080,8,155,0,,,
6,0.0043421467,2080-08-30 07:00:00,2080,8,156,0,,,
7,0.0037293574,2080-08-21 16:00:00,2080,8,157,0,,,
8,0.008500386,2080-08-21 17:00:00,2080,8,158,0,,,
9,0.0050192154,2080-08-21 18:00:00,2080,8,159,0,,,
10,0.0030296699,2080-08-05 06:00:00,2080,8,160,0,,,
11,0.0036155863,2080-08-05 16:00:00,2080,8,161,0,,,
12,0.0032531107,2080-08-21 03:00:00,2080,8,162,0,,,
13,0.0020208831,2080-08-18 11:00:00,2080,8,163,0,,,
14,0.002960554,2080-08-21 04:00:00,2080,8,164,0,,,
15,0.0034990571,2080-08-21 15:00:00,2080,8,165,0,,,
16,0.006266129,2080-08-21 18:00:00,2080,8,166,0,,,
17,0.00557192,2080-08-21 19:00:00,2080,8,167,0,,,
18,0.0024652665,2080-08-21 09:00:00,2080,8,168,0,,,
19,0.0033775137,2080-08-30 14:00:00,2080,8,169,0,,,
20,0.0048975265,2080-08-26 18:00:00,2080,8,170,0,,,
21,0.0031987703,2080-08-30 16:00:00,2080,8,171,0,,,
22,0.004277591,2080-08-21 18:00:00,2080,8,172,0,,,
23,0.006159156,2080-08-21 18:00:00,2080,8,173,0,,,
24,0.003578215,2080-08-19 01:00:00,2080,8,174,0,,,
25,0.0038870925,2080-08-30 14:00:00,2080,8,175,0,,,
26,0.004319223,2080-08-30 15:00:00,2080,8,176,0,,,
27,0.003728925,2080-08-21 04:00:00,2080,8,177,0,,,
28,0.009015346,2080-08-26 19:00:00,2080,8,178,0,,,
29,0.0050302595,2080-08-02 19:00:00,2080,8,179,0,,,
0,0.0016429793,2081-06-13 15:00:00,2081,6,180,0,,,
1,0.0021466475,2081-06-27 17:00:00,2081,6,181,0,,,
2,0.0022832078,2081-06-27 16:00:00,2081,6,182,0,,,
3,0.0012229515,2081-06-16 05:00:00,2081,6,183,0,,,
4,0.0029857568,2081-06-16 05:00:00,2081,6,184,0,,,
5,0.0037003453,2081-06-17 00:00:00,2081,6,185,0,,,
6,0.00175653,2081-06-15 22:00:00,2081,6,186,0,,,
7,0.0033306186,2081-06-27 17:00:00,2081,6,187,0,,,
8,0.0048829224,2081-06-27 17:00:00,2081,6,188,0,,,
9,0.0023957733,2081-06-27 18:00:00,2081,6,189,0,,,
10,0.0023965298,2081-06-28 01:00:00,2081,6,190,0,,,
11,0.0028831626,2081-06-16 23:00:00,2081,6,191,0,,,
12,0.0018222121,2081-06-13 17:00:00,2081,6,192,0,,,
13,0.0030386215,2081-06-27 18:00:00,2081,6,193,0,,,
14,0.0037857827,2081-06-27 15:00:00,2081,6,194,0,,,
15,0.0048209084,2081-06-27 15:00:00,2081,6,195,0,,,
16,0.0036354372,2081-06-27 19:00:00,2081,6,196,0,,,
17,0.0050530974,2081-06-27 20:00:00,2081,6,197,0,,,
18,0.0006977172,2081-06-17 12:00:00,2081,6,198,0,,,
19,0.0015567885,2081-06-27 18:00:00,2081,6,199,0,,,
20,0.0046217293,2081-06-27 19:00:00,2081,6,200,0,,,
21,0.005474795,2081-06-27 16:00:00,2081,6,201,0,,,
22,0.0035513688,2081-06-06 02:00:00,2081,6,202,0,,,
23,0.003709799,2081-06-06 03:00:00,2081,6,203,0,,,
24,0.0048759724,2081-06-27 06:00:00,2081,6,204,0,,,
25,0.0016794603,2081-06-27 18:00:00,2081,6,205,0,,,
26,0.0028025864,2081-06-27 20:00:00,2081,6,206,0,,,
27,0.004458062,2081-06-27 17:00:00,2081,6,207,0,,,
28,0.003076609,2081-06-27 17:00:00,2081,6,208,0,,,
29,0.002317897,2081-06-16 00:00:00,2081,6,209,0,,,
0,0.0027718968,2081-07-14 22:00:00,2081,7,210,0,,,
1,0.0024757301,2081-07-15 00:00:00,2081,7,211,0,,,
2,0.0031904334,2081-07-15 09:00:00,2081,7,212,0,,,
3,0.005713945,2081-07-15 10:00:00,2081,7,213,0,,,
4,0.0074988967,2081-07-07 01:00:00,2081,7,214,0,,,
5,0.006861552,2081-07-09 15:00:00,2081,7,215,0,,,
6,0.001585043,2081-07-14 21:00:00,2081,7,216,0,,,
7,0.0025953772,2081-07-05 14:00:00,2081,7,217,0,,,
8,0.0024371915,2081-07-15 01:00:00,2081,7,218,0,,,
9,0.004965498,2081-07-06 23:00:00,2081,7,219,0,,,
10,0.0071931174,2081-07-07 00:00:00,2081,7,220,0,,,
11,0.0034721904,2081-07-15 13:00:00,2081,7,221,0,,,
12,0.002738548,2081-07-05 14:00:00,2081,7,222,0,,,
13,0.0018613309,2081-07-14 22:00:00,2081,7,223,0,,,
14,0.0068602883,2081-07-05 15:00:00,2081,7,224,0,,,
15,0.0033442532,2081-07-05 16:00:00,2081,7,225,0,,,
16,0.0040398664,2081-07-06 18:00:00,2081,7,226,0,,,
17,0.0036198641,2081-07-06 18:00:00,2081,7,227,0,,,
18,0.002265159,2081-07-05 14:00:00,2081,7,228,0,,,
19,0.0012617465,2081-07-14 22:00:00,2081,7,229,0,,,
20,0.005369752,2081-07-05 16:00:00,2081,7,230,0,,,
21,0.0058054007,2081-07-05 16:00:00,2081,7,231,0,,,
22,0.004640354,2081-07-05 17:00:00,2081,7,232,0,,,
23,0.0021334742,2081-07-06 19:00:00,2081,7,233,0,,,
24,0.002706427,2081-07-06 06:00:00,2081,7,234,0,,,
25,0.0014074241,2081-07-07 09:00:00,2081,7,235,0,,,
26,0.0048288787,2081-07-05 16:00:00,2081,7,236,0,,,
27,0.012556254,2081-07-05 17:00:00,2081,7,237,0,,,
28,0.0072895233,2081-07-05 17:00:00,2081,7,238,0,,,
29,0.007685391,2081-07-05 18:00:00,2081,7,239,0,,,
0,0.006532667,2081-08-04 04:00:00,2081,8,240,0,,,
1,0.0055284863,2081-08-16 17:00:00,2081,8,241,0,,,
2,0.004507748,2081-08-16 18:00:00,2081,8,242,0,,,
3,0.002244885,2081-08-03 15:00:00,2081,8,243,0,,,
4,0.0020138305,2081-08-09 16:00:00,2081,8,244,0,,,
5,0.00337026,2081-08-09 16:00:00,2081,8,245,0,,,
6,0.0034621719,2081-08-30 01:00:00,2081,8,246,0,,,
7,0.0044638882,2081-08-04 05:00:00,2081,8,247,0,,,
8,0.0052688885,2081-08-16 18:00:00,2081,8,248,0,,,
9,0.0044743274,2081-08-16 19:00:00,2081,8,249,0,,,
10,0.0038401773,2081-08-03 16:00:00,2081,8,250,0,,,
11,0.00592509,2081-08-03 21:00:00,2081,8,251,0,,,
12,0.0018390516,2081-08-04 03:00:00,2081,8,252,0,,,
13,0.0043912665,2081-08-04 04:00:00,2081,8,253,0,,,
14,0.0051111113,2081-08-04 05:00:00,2081,8,254,0,,,
15,0.0054254946,2081-08-20 00:00:00,2081,8,255,0,,,
16,0.0055620936,2081-08-16 20:00:00,2081,8,256,0,,,
17,0.0053899866,2081-08-04 08:00:00,2081,8,257,0,,,
18,0.0022007248,2081-08-04 02:00:00,2081,8,258,0,,,
19,0.003220494,2081-08-18 22:00:00,2081,8,259,0,,,
20,0.0039229337,2081-08-04 04:00:00,2081,8,260,0,,,
21,0.0059148166,2081-08-30 03:00:00,2081,8,261,0,,,
22,0.0032930872,2081-08-30 04:00:00,2081,8,262,0,,,
23,0.0069220355,2081-08-03 17:00:00,2081,8,263,0,,,
24,0.003831002,2081-08-18 22:00:00,2081,8,264,0,,,
25,0.005068474,2081-08-03 23:00:00,2081,8,265,0,,,
26,0.005229968,2081-08-04 00:00:00,2081,8,266,0,,,
27,0.005299924,2081-08-04 01:00:00,2081,8,267,0,,,
28,0.003785532,2081-08-03 17:00:00,2081,8,268,0,,,
29,0.008367684,2081-08-20 01:00:00,2081,8,269,0,,,
0,0.0023341684,2082-06-05 06:00:00,2082,6,270,0,,,
1,0.0025415039,2082-06-05 17:00:00,2082,6,271,0,,,
2,0.0022565306,2082-06-05 12:00:00,2082,6,272,0,,,
3,0.0037563986,2082-06-05 07:00:00,2082,6,273,0,,,
4,0.0020088218,2082-06-09 00:00:00,2082,6,274,0,,,
5,0.00386641,2082-06-05 09:00:00,2082,6,275,0,,,
6,0.0032715218,2082-06-05 13:00:00,2082,6,276,0,,,
7,0.002629413,2082-06-05 16:00:00,2082,6,277,0,,,
8,0.0018707907,2082-06-19 13:00:00,2082,6,278,0,,,
9,0.0029856022,2082-06-05 09:00:00,2082,6,279,0,,,
10,0.0034896699,2082-06-05 08:00:00,2082,6,280,0,,,
11,0.0028919596,2082-06-05 15:00:00,2082,6,281,0,,,
12,0.0037215753,2082-06-05 14:00:00,2082,6,282,0,,,
13,0.00292921,2082-06-05 14:00:00,2082,6,283,0,,,
14,0.002255815,2082-06-04 16:00:00,2082,6,284,0,,,
15,0.0024656083,2082-06-05 20:00:00,2082,6,285,0,,,
16,0.0011658971,2082-06-06 00:00:00,2082,6,286,0,,,
17,0.0018572863,2082-06-20 19:00:00,2082,6,287,0,,,
18,0.00529009,2082-06-05 14:00:00,2082,6,288,0,,,
19,0.005702191,2082-06-05 15:00:00,2082,6,289,0,,,
20,0.002792406,2082-06-05 02:00:00,2082,6,290,0,,,
21,0.0022364664,2082-06-05 20:00:00,2082,6,291,0,,,
22,0.0025004968,2082-06-04 16:00:00,2082,6,292,0,,,
23,0.0019289474,2082-06-20 15:00:00,2082,6,293,0,,,
24,0.0037438024,2082-06-05 15:00:00,2082,6,294,0,,,
25,0.00461451,2082-06-05 15:00:00,2082,6,295,0,,,
26,0.0037535573,2082-06-05 16:00:00,2082,6,296,0,,,
27,0.0027305519,2082-06-05 02:00:00,2082,6,297,0,,,
28,0.0009081622,2082-06-05 21:00:00,2082,6,298,0,,,
29,0.002076895,2082-06-21 05:00:00,2082,6,299,0,,,
0,0.0010791984,2082-07-10 05:00:00,2082,7,300,0,,,
1,0.0021888078,2082-07-09 15:00:00,2082,7,301,0,,,
2,0.004352914,2082-07-09 16:00:00,2082,7,302,0,,,
3,0.0025931746,2082-07-13 01:00:00,2082,7,303,0,,,
4,0.0020639203,2082-07-12 21:00:00,2082,7,304,0,,,
5,0.0041866284,2082-07-24 17:00:00,2082,7,305,0,,,
6,0.002712711,2082-07-31 03:00:00,2082,7,306,0,,,
7,0.0020416158,2082-07-10 06:00:00,2082,7,307,0,,,
8,0.0039060717,2082-07-09 15:00:00,2082,7,308,0,,,
9,0.0037116362,2082-07-09 16:00:00,2082,7,309,0,,,
10,0.0025251051,2082-07-24 16:00:00,2082,7,310,0,,,
11,0.003280846,2082-07-24 17:00:00,2082,7,311,0,,,
14,0.0014580283,2082-07-31 05:00:00,2082,7,314,0,,,
15,0.0030105254,2082-07-09 16:00:00,2082,7,315,0,,,
16,0.006733346,2082-07-09 17:00:00,2082,7,316,0,,,
17,0.0037931676,2082-07-24 16:00:00,2082,7,317,0,,,
18,0.0017727135,2082-07-31 06:00:00,2082,7,318,0,,,
19,0.0014707962,2082-07-31 04:00:00,2082,7,319,0,,,
20,0.0010573356,2082-07-31 00:00:00,2082,7,320,0,,,
21,0.0010141013,2082-07-10 09:00:00,2082,7,321,0,,,
22,0.003511397,2082-07-08 17:00:00,2082,7,322,0,,,
23,0.004120852,2082-07-08 18:00:00,2082,7,323,0,,,
24,0.004426625,2082-07-31 07:00:00,2082,7,324,0,,,
26,0.0007899727,2082-07-09 04:00:00,2082,7,326,0,,,
27,0.0008921106,2082-07-31 01:00:00,2082,7,327,0,,,
28,0.0026032925,2082-07-03 15:00:00,2082,7,328,0,,,
29,0.0046406724,2082-07-09 18:00:00,2082,7,329,0,,,
0,0.0022941874,2082-08-31 12:00:00,2082,8,330,0,,,
1,0.0018647773,2082-08-31 08:00:00,2082,8,331,0,,,
2,0.0016269957,2082-08-31 15:00:00,2082,8,332,0,,,
3,0.0032666586,2082-08-23 20:00:00,2082,8,333,0,,,
4,0.002722307,2082-08-22 18:00:00,2082,8,334,0,,,
5,0.0026233469,2082-08-09 23:00:00,2082,8,335,0,,,
6,0.0034981056,2082-08-31 11:00:00,2082,8,336,0,,,
7,0.0035474093,2082-08-31 13:00:00,2082,8,337,0,,,
8,0.002631359,2082-08-31 14:00:00,2082,8,338,0,,,
9,0.0031520377,2082-08-05 15:00:00,2082,8,339,0,,,
10,0.004033152,2082-08-05 17:00:00,2082,8,340,0,,,
11,0.0041628983,2082-08-05 17:00:00,2082,8,341,0,,,
12,0.0037089917,2082-08-03 23:00:00,2082,8,342,0,,,
13,0.004180805,2082-08-04 00:00:00,2082,8,343,0,,,
14,0.0035781397,2082-08-31 13:00:00,2082,8,344,0,,,
15,0.0064277183,2082-08-04 01:00:00,2082,8,345,0,,,
16,0.0063715954,2082-08-04 02:00:00,2082,8,346,0,,,
17,0.0052961535,2082-08-05 17:00:00,2082,8,347,0,,,
18,0.0020550257,2082-08-31 18:00:00,2082,8,348,0,,,
19,0.005785867,2082-08-05 15:00:00,2082,8,349,0,,,
20,0.0023683324,2082-08-05 15:00:00,2082,8,350,0,,,
21,0.0028758745,2082-08-05 16:00:00,2082,8,351,0,,,
22,0.0057955477,2082-08-05 16:00:00,2082,8,352,0,,,
23,0.0036837214,2082-08-04 03:00:00,2082,8,353,0,,,
