"alt","spline_values","ci_upper","ci_lower"
-2,-0.000764956782211324,-0.000575519792885819,-0.000954393771536829
-1.999,-0.000764593729136376,-0.000575330804233502,-0.00095385665403925
-1.998,-0.000764230676061437,-0.000575141812918291,-0.000953319539204584
-1.997,-0.00076386762298649,-0.000574952818932806,-0.000952782427040174
-1.996,-0.000763504569911535,-0.000574763822269666,-0.000952245317553404
-1.995,-0.000763141516836595,-0.000574574822921476,-0.000951708210751714
-1.994,-0.000762778463761653,-0.000574385820880772,-0.000951171106642534
-1.993,-0.000762415410686708,-0.00057419681614009,-0.000950634005233327
-1.992,-0.000762052357611763,-0.000574007808691931,-0.000950096906531594
-1.991,-0.000761689304536808,-0.000573818798528767,-0.000949559810544849
-1.99,-0.000761326251461873,-0.000573629785643065,-0.000949022717280682
-1.989,-0.000760963198386932,-0.000573440770027226,-0.000948485626746639
-1.988,-0.000760600145311985,-0.000573251751673643,-0.000947948538950327
-1.987,-0.000760237092237033,-0.000573062730574676,-0.00094741145389939
-1.986,-0.000759874039162088,-0.000572873706722681,-0.000946874371601494
-1.985,-0.000759510986087155,-0.000572684680109951,-0.00094633729206436
-1.984,-0.000759147933012209,-0.000572495650728751,-0.000945800215295667
-1.983,-0.000758784879937263,-0.00057230661857135,-0.000945263141303176
-1.982,-0.000758421826862315,-0.000572117583629956,-0.000944726070094674
-1.981,-0.000758058773787371,-0.000571928545896772,-0.00094418900167797
-1.98,-0.000757695720712418,-0.000571739505363948,-0.000943651936060888
-1.979,-0.000757332667637486,-0.000571550462023635,-0.000943114873251337
-1.978,-0.000756969614562533,-0.000571361415867906,-0.000942577813257159
-1.977,-0.000756606561487586,-0.000571172366888865,-0.000942040756086307
-1.976,-0.000756243508412646,-0.000570983315078549,-0.000941503701746743
-1.975,-0.000755880455337703,-0.000570794260428966,-0.00094096665024644
-1.974,-0.000755517402262756,-0.000570605202932108,-0.000940429601593403
-1.973,-0.00075515434918781,-0.000570416142579921,-0.000939892555795698
-1.972,-0.000754791296112861,-0.000570227079364337,-0.000939355512861385
-1.971,-0.000754428243037925,-0.000570038013277256,-0.000938818472798594
-1.97,-0.00075406518996298,-0.00056984894431053,-0.000938281435615431
-1.969,-0.000753702136888028,-0.000569659872455992,-0.000937744401320065
-1.968,-0.000753339083813081,-0.000569470797705451,-0.000937207369920711
-1.967,-0.000752976030738143,-0.000569281720050681,-0.000936670341425605
-1.966,-0.000752612977663208,-0.000569092639483427,-0.000936133315842989
-1.965,-0.00075224992458825,-0.000568903555995366,-0.000935596293181133
-1.964,-0.000751886871513305,-0.000568714469578214,-0.000935059273448395
-1.963,-0.000751523818438358,-0.000568525380223596,-0.00093452225665312
-1.962,-0.00075116076536342,-0.000568336287923145,-0.000933985242803695
-1.961,-0.000750797712288469,-0.00056814719266842,-0.000933448231908517
-1.96,-0.000750434659213523,-0.000567958094450988,-0.000932911223976059
-1.959,-0.000750071606138579,-0.000567768993262369,-0.00093237421901479
-1.958,-0.000749708553063638,-0.000567579889094039,-0.000931837217033238
-1.957,-0.000749345499988693,-0.00056739078193746,-0.000931300218039925
-1.956,-0.000748982446913749,-0.000567201671784054,-0.000930763222043443
-1.955,-0.000748619393838805,-0.00056701255862521,-0.000930226229052401
-1.954,-0.000748256340763864,-0.000566823442452278,-0.00092968923907545
-1.953,-0.000747893287688916,-0.000566634323256581,-0.000929152252121251
-1.952,-0.000747530234613967,-0.000566445201029408,-0.000928615268198527
-1.951,-0.000747167181539031,-0.000566256075762029,-0.000928078287316033
-1.95,-0.000746804128464082,-0.000566066947445655,-0.000927541309482509
-1.949,-0.000746441075389138,-0.000565877816071479,-0.000927004334706796
-1.948,-0.000746078022314191,-0.000565688681630658,-0.000926467362997724
-1.947,-0.000745714969239244,-0.000565499544114305,-0.000925930394364182
-1.946,-0.000745351916164301,-0.00056531040351352,-0.000925393428815082
-1.945,-0.000744988863089351,-0.000565121259819337,-0.000924856466359365
-1.944,-0.000744625810014411,-0.000564932113022795,-0.000924319507006026
-1.943,-0.000744262756939463,-0.000564742963114876,-0.00092378255076405
-1.942,-0.000743899703864519,-0.000564553810086523,-0.000923245597642515
-1.941,-0.000743536650789574,-0.000564364653928642,-0.000922708647650506
-1.94,-0.000743173597714628,-0.000564175494632126,-0.00092217170079713
-1.939,-0.000742810544639686,-0.000563986332187813,-0.000921634757091559
-1.938,-0.000742447491564743,-0.000563797166586512,-0.000921097816542974
-1.937,-0.000742084438489792,-0.000563607997818983,-0.000920560879160601
-1.936,-0.000741721385414845,-0.000563418825875988,-0.000920023944953703
-1.935,-0.000741358332339916,-0.000563229650748222,-0.000919487013931609
-1.934,-0.000740995279264963,-0.000563040472426321,-0.000918950086103606
-1.933,-0.00074063222619002,-0.000562851290900941,-0.000918413161479099
-1.932,-0.000740269173115072,-0.000562662106162667,-0.000917876240067477
-1.931,-0.000739906120040123,-0.000562472918202052,-0.000917339321878193
-1.93,-0.000739543066965179,-0.000562283727009619,-0.000916802406920739
-1.929,-0.000739180013890243,-0.000562094532575855,-0.000916265495204631
-1.928,-0.000738816960815291,-0.000561905334891174,-0.000915728586739409
-1.927,-0.000738453907740345,-0.000561716133946018,-0.000915191681534671
-1.926,-0.000738090854665412,-0.000561526929730746,-0.000914654779600078
-1.925,-0.000737727801590457,-0.000561337722235664,-0.00091411788094525
