"alt","spline_values","ci_upper","ci_lower"
-2,-0.000194559172708275,-0.00014927731836874,-0.000239841027047811
-1.999,-0.000194344347060354,-0.00014907661425617,-0.000239612079864537
-1.998,-0.000194130006079878,-0.0001488764053905,-0.000239383606769256
-1.997,-0.000193916149789161,-0.000148676692560051,-0.00023915560701827
-1.996,-0.000193702778210508,-0.000148477476548501,-0.000238928079872514
-1.995,-0.000193489891366222,-0.000148278758134897,-0.000238701024597546
-1.994,-0.000193277489278633,-0.000148080538093705,-0.000238474440463562
-1.993,-0.000193065571970022,-0.000147882817194717,-0.000238248326745328
-1.992,-0.000192854139462714,-0.00014768559620317,-0.000238022682722257
-1.991,-0.000192643191779011,-0.00014748887587968,-0.000237797507678342
-1.99,-0.000192432728941234,-0.000147292656980282,-0.000237572800902186
-1.989,-0.000192222750971676,-0.000147096940256404,-0.000237348561686949
-1.988,-0.000192013257892658,-0.000146901726454911,-0.000237124789330405
-1.987,-0.000191804249726486,-0.000146707016318085,-0.000236901483134887
-1.986,-0.000191595726495463,-0.000146512810583641,-0.000236678642407286
-1.985,-0.000191387688221905,-0.000146319109984736,-0.000236456266459075
-1.984,-0.000191180134928118,-0.000146125915249971,-0.000236234354606266
-1.983,-0.000190973066636408,-0.000145933227103394,-0.000236012906169421
-1.982,-0.000190766483369096,-0.000145741046264535,-0.000235791920473657
-1.981,-0.000190560385148472,-0.000145549373448346,-0.000235571396848598
-1.98,-0.000190354771996856,-0.000145358209365295,-0.000235351334628417
-1.979,-0.000190149643936558,-0.000145167554721313,-0.000235131733151804
-1.978,-0.000189945000989878,-0.000144977410217807,-0.00023491259176195
-1.977,-0.000189740843179135,-0.000144787776551701,-0.000234693909806568
-1.976,-0.000189537170526634,-0.000144598654415404,-0.000234475686637864
-1.975,-0.000189333983054681,-0.000144410044496833,-0.000234257921612529
-1.974,-0.000189131280785596,-0.000144221947479435,-0.000234040614091758
-1.973,-0.000188929063741673,-0.000144034364042149,-0.000233823763441196
-1.972,-0.000188727331945228,-0.000143847294859474,-0.000233607369030982
-1.971,-0.000188526085418574,-0.000143660740601433,-0.000233391430235714
-1.97,-0.000188325324184013,-0.000143474701933591,-0.000233175946434434
-1.969,-0.000188125048263851,-0.000143289179517057,-0.000232960917010644
-1.968,-0.000187925257680411,-0.000143104174008525,-0.000232746341352298
-1.967,-0.000187725952455981,-0.00014291968606021,-0.000232532218851752
-1.966,-0.000187527132612891,-0.000142735716319954,-0.000232318548905829
-1.965,-0.000187328798173438,-0.000142552265431131,-0.000232105330915746
-1.964,-0.000187130949159931,-0.000142369334032726,-0.000231892564287135
-1.963,-0.000186933585594683,-0.000142186922759318,-0.000231680248430049
-1.962,-0.000186736707500002,-0.000142005032241081,-0.000231468382758923
-1.961,-0.000186540314898196,-0.000141823663103803,-0.00023125696669259
-1.96,-0.000186344407811577,-0.000141642815968888,-0.000231045999654267
-1.959,-0.000186148986262444,-0.00014146249145335,-0.000230835481071539
-1.958,-0.000185954050273117,-0.000141282690169857,-0.000230625410376376
-1.957,-0.000185759599865896,-0.000141103412726698,-0.000230415787005094
-1.956,-0.000185565635063101,-0.000140924659727824,-0.000230206610398379
-1.955,-0.000185372155887031,-0.000140746431772817,-0.000229997880001245
-1.954,-0.000185179162359996,-0.000140568729456933,-0.00022978959526306
-1.953,-0.000184986654504314,-0.000140391553371103,-0.000229581755637524
-1.952,-0.000184794632342281,-0.000140214904101908,-0.000229374360582654
-1.951,-0.000184603095896207,-0.000140038782231628,-0.000229167409560786
-1.95,-0.000184412045188416,-0.000139863188338247,-0.000228960902038585
-1.949,-0.000184221480241208,-0.000139688122995415,-0.000228754837487001
-1.948,-0.000184031401076876,-0.000139513586772486,-0.000228549215381266
-1.947,-0.000183841807717753,-0.000139339580234559,-0.000228344035200948
-1.946,-0.000183652700186145,-0.000139166103942428,-0.000228139296429861
-1.945,-0.000183464078504337,-0.000138993158452589,-0.000227934998556086
-1.944,-0.000183275942694667,-0.000138820744317322,-0.000227731141072011
-1.943,-0.000183088292779425,-0.0001386488620846,-0.000227527723474249
-1.942,-0.000182901128780931,-0.000138477512298172,-0.00022732474526369
-1.941,-0.000182714450721483,-0.000138306695497515,-0.000227122205945452
-1.94,-0.00018252825862341,-0.000138136412217902,-0.000226920105028919
-1.939,-0.000182342552508999,-0.000137966662990325,-0.000226718442027672
-1.938,-0.000182157332400561,-0.000137797448341582,-0.00022651721645954
-1.937,-0.00018197259832042,-0.000137628768794254,-0.000226316427846585
-1.936,-0.000181788350290881,-0.000137460624866704,-0.000226116075715058
-1.935,-0.000181604588334232,-0.000137293017073055,-0.00022591615959541
-1.934,-0.000181421312472809,-0.000137125945923295,-0.000225716679022324
-1.933,-0.000181238522728904,-0.000136959411923165,-0.000225517633534643
-1.932,-0.000181056219124832,-0.000136793415574251,-0.000225319022675413
-1.931,-0.000180874401682903,-0.000136627957373949,-0.000225120845991858
-1.93,-0.000180693070425426,-0.000136463037815483,-0.000224923103035369
-1.929,-0.000180512225374702,-0.000136298657387904,-0.0002247257933615
-1.928,-0.000180331866553048,-0.000136134816576119,-0.000224528916529978
-1.927,-0.000180151993982774,-0.000135971515860873,-0.000224332472104675
-1.926,-0.000179972607686181,-0.000135808755718755,-0.000224136459653607
-1.925,-0.000179793707685583,-0.000135646536622229,-0.000223940878748936
-1.924,-0.000179615294003291,-0.000135484859039619,-0.000223745728966963
-1.923,-0.000179437366661613,-0.000135323723435116,-0.00022355100988811
-1.922,-0.000179259925682846,-0.000135163130268782,-0.00022335672109691
-1.921,-0.000179082971089322,-0.000135003079996593,-0.000223162862182051
-1.92,-0.000178906502903332,-0.000134843573070377,-0.000222969432736287
-1.919,-0.000178730521147185,-0.000134684609937871,-0.000222776432356498
-1.918,-0.000178555025843203,-0.000134526191042732,-0.000222583860643674
-1.917,-0.000178380017013679,-0.000134368316824489,-0.00022239171720287
-1.916,-0.000178205494680929,-0.000134210987718611,-0.000222200001643248
-1.915,-0.000178031458867268,-0.000134054204156481,-0.000222008713578056
-1.914,-0.000177857909594997,-0.000133897966565394,-0.000221817852624599
-1.913,-0.000177684846886421,-0.000133742275368578,-0.000221627418404264
-1.912,-0.000177512270763862,-0.00013358713098521,-0.000221437410542514
-1.911,-0.000177340181249615,-0.000133432533830381,-0.000221247828668849
-1.91,-0.000177168578366003,-0.000133278484315157,-0.00022105867241685
-1.909,-0.000176997462135322,-0.000133124982846523,-0.000220869941424121
-1.908,-0.00017682683257989,-0.000132972029827447,-0.000220681635332333
-1.907,-0.000176656689722012,-0.000132819625656836,-0.000220493753787188
-1.906,-0.000176487033583995,-0.000132667770729572,-0.000220306296438419
-1.905,-0.000176317864188149,-0.000132516465436503,-0.000220119262939795
-1.904,-0.000176149181556782,-0.000132365710164455,-0.000219932652949109
-1.903,-0.00017598098571221,-0.000132215505296241,-0.00021974646612818
-1.902,-0.000175813276676736,-0.000132065851210636,-0.000219560702142835
-1.901,-0.000175646054472666,-0.000131916748282417,-0.000219375360662914
-1.9,-0.000175479319122315,-0.00013176819688236,-0.00021919044136227
-1.899,-0.000175313070647988,-0.000131620197377218,-0.000219005943918757
-1.898,-0.000175147309071996,-0.000131472750129764,-0.000218821868014228
-1.897,-0.000174982034416642,-0.00013132585549876,-0.000218638213334523
-1.896,-0.000174817246704247,-0.000131179513838997,-0.000218454979569496
-1.895,-0.000174652945957102,-0.000131033725501249,-0.000218272166412955
-1.894,-0.000174489132197534,-0.000130888490832342,-0.000218089773562727
-1.893,-0.000174325805447844,-0.000130743810175094,-0.000217907800720594
-1.892,-0.000174162965730344,-0.000130599683868364,-0.000217726247592324
-1.891,-0.000174000613067337,-0.000130456112247018,-0.000217545113887656
-1.89,-0.000173838747481132,-0.000130313095641972,-0.000217364399320292
-1.889,-0.000173677368994044,-0.000130170634380172,-0.000217184103607917
-1.888,-0.000173516477628376,-0.00013002872878459,-0.000217004226472161
-1.887,-0.00017335607340644,-0.000129887379174255,-0.000216824767638625
-1.886,-0.000173196156350549,-0.000129746585864226,-0.000216645726836871
-1.885,-0.000173036726483009,-0.000129606349165614,-0.000216467103800404
-1.884,-0.000172877783826119,-0.000129466669385562,-0.000216288898266675
-1.883,-0.000172719328402201,-0.000129327546827292,-0.00021611110997711
-1.882,-0.000172561360233557,-0.000129188981790057,-0.000215933738677057
-1.881,-0.000172403879342496,-0.000129050974569175,-0.000215756784115816
-1.88,-0.000172246885751333,-0.000128913525456025,-0.000215580246046641
-1.879,-0.000172090379482367,-0.000128776634738032,-0.000215404124226701
-1.878,-0.00017193436055792,-0.000128640302698707,-0.000215228418417132
-1.877,-0.000171778829000289,-0.000128504529617599,-0.000215053128382978
-1.876,-0.000171623784831787,-0.000128369315770336,-0.000214878253893237
-1.875,-0.000171469228074725,-0.000128234661428617,-0.000214703794720834
-1.874,-0.000171315158751405,-0.000128100566860196,-0.000214529750642613
-1.873,-0.000171161576884146,-0.000127967032328917,-0.000214356121439376
-1.872,-0.000171008482495249,-0.000127834058094675,-0.000214182906895822
-1.871,-0.000170855875607022,-0.000127701644413453,-0.000214010106800591
-1.87,-0.000170703756241785,-0.000127569791537306,-0.000213837720946264
-1.869,-0.000170552124421839,-0.000127438499714356,-0.000213665749129322
-1.868,-0.000170400980169484,-0.000127307769188794,-0.000213494191150173
-1.867,-0.000170250323507044,-0.000127177600200914,-0.000213323046813174
-1.866,-0.000170100154456822,-0.000127047992987062,-0.000213152315926581
-1.865,-0.000169950473041127,-0.000126918947779671,-0.000212981998302583
-1.864,-0.000169801279282266,-0.000126790464807246,-0.000212812093757286
-1.863,-0.00016965257320255,-0.000126662544294374,-0.000212642602110726
