"alt","spline_values","ci_upper","ci_lower"
-2,-0.125393181704521,-0.0910895884935598,-0.159696774915482
-1.999,-0.125310992321638,-0.0910812963824428,-0.159540688260834
-1.998,-0.125228803245741,-0.0910729548475885,-0.159384651643894
-1.997,-0.125146614479815,-0.0910645635664133,-0.159228665393216
-1.996,-0.125064426026846,-0.0910561222156387,-0.159072729838054
-1.995,-0.124982237889825,-0.0910476304712861,-0.158916845308363
-1.994,-0.124900050071739,-0.0910390880086716,-0.158761012134806
-1.993,-0.124817862575581,-0.0910304945024066,-0.158605230648756
-1.992,-0.124735675404331,-0.0910218496263736,-0.158449501182288
-1.991,-0.12465348856099,-0.0910131530537608,-0.158293824068219
-1.99,-0.124571302048532,-0.0910044044570024,-0.158138199640061
-1.989,-0.124489115869956,-0.0909956035078348,-0.157982628232078
-1.988,-0.124406930028247,-0.0909867498772454,-0.157827110179249
-1.987,-0.124324744526392,-0.0909778432354869,-0.157671645817296
-1.986,-0.124242559367378,-0.0909688832520735,-0.157516235482682
-1.985,-0.124160374554195,-0.0909598695957738,-0.157360879512617
-1.984,-0.124078190089835,-0.0909508019346093,-0.15720557824506
-1.983,-0.123996005977275,-0.0909416799358353,-0.157050332018715
-1.982,-0.123913822219527,-0.0909325032659773,-0.156895141173076
-1.981,-0.123831638819559,-0.0909232715907561,-0.156740006048363
-1.98,-0.12374945578036,-0.0909139845751415,-0.156584926985578
-1.979,-0.123667273104928,-0.0909046418833427,-0.156429904326514
-1.978,-0.123585090796243,-0.0908952431787705,-0.156274938413716
-1.977,-0.1235029088573,-0.0908857881240692,-0.15612002959053
-1.976,-0.123420727291083,-0.0908762763810815,-0.155965178201085
-1.975,-0.123338546100588,-0.0908667076108732,-0.155810384590303
-1.974,-0.123256365288785,-0.0908570814736801,-0.15565564910389
-1.973,-0.123174184858685,-0.0908473976289886,-0.155500972088382
-1.972,-0.123092004813265,-0.090837655735431,-0.155346353891099
-1.971,-0.123009825155509,-0.0908278554508423,-0.155191794860176
-1.97,-0.122927645888413,-0.0908179964322497,-0.155037295344577
-1.969,-0.122845467014959,-0.0908080783358449,-0.154882855694074
-1.968,-0.122763288538147,-0.0907981008170139,-0.154728476259281
-1.967,-0.122681110460957,-0.0907880635302835,-0.154574157391631
-1.966,-0.122598932785531,-0.0907779661154327,-0.15441989945563
-1.965,-0.122516755510068,-0.0907678081463816,-0.154265702873755
-1.964,-0.122434578631607,-0.0907575891775484,-0.154111568085665
-1.963,-0.122352402147187,-0.0907473087629414,-0.153957495531434
-1.962,-0.122270226053846,-0.0907369664561533,-0.153803485651539
-1.961,-0.122188050348622,-0.090726561810371,-0.153649538886872
-1.96,-0.12210587502856,-0.0907160943783815,-0.153495655678738
-1.959,-0.122023700090697,-0.0907055637125485,-0.153341836468845
-1.958,-0.12194152553207,-0.0906949693648344,-0.153188081699306
-1.957,-0.121859351349722,-0.0906843108867947,-0.153034391812648
-1.956,-0.12177717754069,-0.0906735878295765,-0.152880767251804
-1.955,-0.12169500410201,-0.0906627997439164,-0.152727208460104
-1.954,-0.121612831030732,-0.0906519461801603,-0.152573715881303
-1.953,-0.121530658323887,-0.0906410266882324,-0.152420289959542
-1.952,-0.121448485978513,-0.0906300408176557,-0.152266931139371
-1.951,-0.121366313991657,-0.0906189881175629,-0.152113639865751
-1.95,-0.121284142360354,-0.090607868136669,-0.151960416584039
-1.949,-0.121201971081643,-0.0905966804232938,-0.151807261739992
-1.948,-0.12111980015257,-0.0905854245253625,-0.151654175779777
-1.947,-0.12103762957016,-0.0905740999903817,-0.151501159149939
-1.946,-0.120955459331466,-0.0905627063654836,-0.151348212297448
-1.945,-0.120873289433524,-0.0905512431973899,-0.151195335669657
-1.944,-0.120791119873373,-0.0905397100324271,-0.151042529714319
-1.943,-0.120708950648048,-0.0905281064165243,-0.150889794879571
-1.942,-0.120626781754591,-0.0905164318952209,-0.150737131613961
-1.941,-0.120544613190051,-0.0905046860136753,-0.150584540366427
-1.94,-0.120462444951452,-0.090492868316627,-0.150432021586277
-1.939,-0.120380277035845,-0.0904809783484524,-0.150279575723237
-1.938,-0.12029810944026,-0.0904690156531198,-0.150127203227401
-1.937,-0.120215942161744,-0.0904569797742318,-0.149974904549256
-1.936,-0.120133775197339,-0.0904448702549953,-0.149822680139683
-1.935,-0.120051608544071,-0.0904326866382207,-0.149670530449922
-1.934,-0.119969442198993,-0.0904204284663639,-0.149518455931623
-1.933,-0.11988727615914,-0.0904080952814833,-0.149366457036797
-1.932,-0.119805110421548,-0.0903956866252616,-0.149214534217835
-1.931,-0.119722944983258,-0.0903832020390072,-0.149062687927509
-1.93,-0.119640779841319,-0.0903706410636705,-0.148910918618968
-1.929,-0.119558614992749,-0.0903580032397895,-0.148759226745709
-1.928,-0.119476450434611,-0.090345288107583,-0.148607612761639
-1.927,-0.119394286163935,-0.0903324952068722,-0.148456077120998
-1.926,-0.119312122177759,-0.0903196240771158,-0.148304620278403
-1.925,-0.119229958473116,-0.0903066742574074,-0.148153242688825
-1.924,-0.119147795047064,-0.090293645286506,-0.148001944807621
-1.923,-0.119065631896621,-0.0902805367027746,-0.147850727090468
-1.922,-0.118983469018838,-0.0902673480442492,-0.147699589993427
-1.921,-0.118901306410755,-0.0902540788486078,-0.147548533972903
-1.92,-0.11881914406941,-0.090240728653176,-0.147397559485645
-1.919,-0.118736981991838,-0.0902272969949263,-0.147246666988749
-1.918,-0.11865482017509,-0.0902137834105094,-0.147095856939671
-1.917,-0.118572658616195,-0.0902001874362058,-0.146945129796184
-1.916,-0.118490497312191,-0.0901865086079735,-0.146794486016409
-1.915,-0.118408336260122,-0.0901727464614432,-0.146643926058802
-1.914,-0.118326175457035,-0.0901589005319116,-0.146493450382159
-1.913,-0.118244014899958,-0.0901449703543327,-0.146343059445583
-1.912,-0.118161854585933,-0.0901309554633492,-0.146192753708516
-1.911,-0.118079694512001,-0.0901168553932865,-0.146042533630716
-1.91,-0.1179975346752,-0.0901026696781406,-0.145892399672259
-1.909,-0.117915375072571,-0.0900883978516097,-0.145742352293533
-1.908,-0.117833215701156,-0.0900740394470732,-0.145592391955239
-1.907,-0.117751056557986,-0.0900595939975982,-0.145442519118373
-1.906,-0.117668897640111,-0.0900450610359735,-0.145292734244249
-1.905,-0.117586738944562,-0.090030440094663,-0.145143037794461
-1.904,-0.117504580468382,-0.0900157307058605,-0.144993430230903
-1.903,-0.117422422208613,-0.0900009324014622,-0.144843912015764
-1.902,-0.11734026416229,-0.0899860447130737,-0.144694483611507
-1.901,-0.117258106326455,-0.0899710671720355,-0.144545145480874
-1.9,-0.117175948698144,-0.0899559993094032,-0.144395898086886
-1.899,-0.117093791274406,-0.0899408406559714,-0.14424674189284
-1.898,-0.117011634052268,-0.0899255907422577,-0.144097677362279
-1.897,-0.116929477028777,-0.0899102490985313,-0.143948704959023
-1.896,-0.11684732020097,-0.0898948152548023,-0.143799825147138
-1.895,-0.116765163565887,-0.0898792887408311,-0.143651038390944
-1.894,-0.11668300712057,-0.0898636690861399,-0.143502345155
-1.893,-0.116600850862053,-0.0898479558200041,-0.143353745904102
-1.892,-0.116518694787378,-0.0898321484714719,-0.143205241103284
-1.891,-0.116436538893589,-0.0898162465693714,-0.143056831217806
-1.89,-0.116354383177718,-0.0898002496422958,-0.14290851671314
-1.889,-0.116272227636808,-0.0897841572186328,-0.142760298054983
-1.888,-0.1161900722679,-0.0897679688265639,-0.142612175709236
-1.887,-0.116107917068029,-0.0897516839940622,-0.142464150141996
-1.886,-0.116025762034243,-0.0897353022489151,-0.142316221819571
-1.885,-0.115943607163574,-0.0897188231187087,-0.142168391208439
-1.884,-0.115861452453056,-0.0897022461308476,-0.142020658775263
-1.883,-0.115779297899743,-0.0896855708125849,-0.141873024986901
-1.882,-0.115697143500665,-0.0896687966909785,-0.141725490310352
-1.881,-0.115614989252861,-0.0896519232929309,-0.14157805521279
-1.88,-0.115532835153373,-0.0896349501452068,-0.14143072016154
-1.879,-0.115450681199249,-0.0896178767744177,-0.14128348562408
-1.878,-0.115368527387512,-0.0896007027070205,-0.141136352068003
-1.877,-0.115286373715212,-0.0895834274693687,-0.140989319961055
-1.876,-0.115204220179385,-0.0895660505876785,-0.140842389771092
-1.875,-0.115122066777073,-0.0895485715880541,-0.140695561966093
-1.874,-0.115039913505309,-0.089530989996494,-0.140548837014125
-1.873,-0.114957760361143,-0.0895133053389109,-0.140402215383375
-1.872,-0.114875607341608,-0.0894955171411128,-0.140255697542103
-1.871,-0.114793454443741,-0.0894776249288368,-0.140109283958645
-1.87,-0.114711301664587,-0.089459628227754,-0.13996297510142
-1.869,-0.114629149001185,-0.0894415265634677,-0.139816771438901
-1.868,-0.114546996450568,-0.08942331946153,-0.139670673439606
-1.867,-0.114464844009779,-0.0894050064474549,-0.139524681572104
-1.866,-0.114382691675869,-0.0893865870467326,-0.139378796305006
-1.865,-0.114300539445854,-0.0893680607848036,-0.139233018106905
-1.864,-0.114218387316793,-0.0893494271871288,-0.139087347446457
-1.863,-0.114136235285721,-0.089330685779153,-0.138941784792288
-1.862,-0.114054083349669,-0.089311836086323,-0.138796330613016
-1.861,-0.113971931505688,-0.0892928776341228,-0.138650985377253
-1.86,-0.113889779750812,-0.0892738099480537,-0.138505749553571
-1.859,-0.11380762808208,-0.0892546325536634,-0.138360623610496
-1.858,-0.11372547649653,-0.0892353449765517,-0.138215608016509
-1.857,-0.113643324991203,-0.0892159467423857,-0.138070703240021
-1.856,-0.113561173563143,-0.0891964373769138,-0.137925909749371
-1.855,-0.113479022209386,-0.0891768164059648,-0.137781228012807
-1.854,-0.113396870926967,-0.0891570833554681,-0.137636658498467
-1.853,-0.113314719712935,-0.0891372377514785,-0.137492201674391
-1.852,-0.113232568564323,-0.0891172791201647,-0.137347858008482
-1.851,-0.113150417478168,-0.0890972069878376,-0.137203627968499
-1.85,-0.113068266451514,-0.0890770208809625,-0.137059512022066
-1.849,-0.112986115481402,-0.0890567203261753,-0.13691551063663
-1.848,-0.112903964564864,-0.0890363048502771,-0.136771624279451
-1.847,-0.112821813698951,-0.089015773980284,-0.136627853417619
-1.846,-0.11273966288069,-0.0889951272433915,-0.136484198517988
-1.845,-0.11265751210713,-0.0889743641670423,-0.136340660047218
-1.844,-0.112575361375302,-0.0889534842788953,-0.136197238471708
-1.843,-0.112493210682255,-0.0889324871068837,-0.136053934257627
-1.842,-0.112411060025018,-0.0889113721791759,-0.135910747870859
-1.841,-0.112328909400643,-0.0888901390242546,-0.135767679777031
-1.84,-0.112246758806163,-0.0888687871708758,-0.135624730441449
-1.839,-0.112164608238615,-0.0888473161481143,-0.135481900329115
-1.838,-0.112082457695035,-0.088825725485371,-0.135339189904698
-1.837,-0.112000307172477,-0.0888040147124102,-0.135196599632543
-1.836,-0.111918156667966,-0.0887821833593317,-0.1350541299766
-1.835,-0.111836006178547,-0.0887602309566313,-0.134911781400464
-1.834,-0.11175385570126,-0.088738157035197,-0.134769554367323
-1.833,-0.111671705233141,-0.0887159611263245,-0.134627449339958
-1.832,-0.111589554771236,-0.0886936427617544,-0.134485466780718
-1.831,-0.111507404312584,-0.0886712014736654,-0.134343607151503
-1.83,-0.111425253854215,-0.0886486367946965,-0.134201870913734
-1.829,-0.111343103393179,-0.0886259482579938,-0.134060258528363
-1.828,-0.111260952926508,-0.0886031353971896,-0.133918770455826
-1.827,-0.111178802451247,-0.0885801977464515,-0.133777407156043
-1.826,-0.111096651964429,-0.0885571348404828,-0.133636169088376
-1.825,-0.111014501463103,-0.0885339462145628,-0.133495056711644
-1.824,-0.110932350944305,-0.0885106314045393,-0.13335407048407
-1.823,-0.110850200405062,-0.0884871899468616,-0.133213210863262
-1.822,-0.11076804984243,-0.0884636213786286,-0.133072478306231
-1.821,-0.110685899253445,-0.0884399252375627,-0.132931873269327
-1.82,-0.110603748635141,-0.0884161010620554,-0.132791396208226
-1.819,-0.110521597984561,-0.0883921483911937,-0.132651047577929
-1.818,-0.110439447298744,-0.0883680667647682,-0.13251082783272
-1.817,-0.110357296574728,-0.0883438557233075,-0.132370737426148
-1.816,-0.110275145809561,-0.0883195148081003,-0.132230776811021
-1.815,-0.110192995000265,-0.0882950435611904,-0.13209094643934
-1.814,-0.110110844143892,-0.0882704415254486,-0.131951246762335
-1.813,-0.110028693237483,-0.0882457082445681,-0.131811678230398
-1.812,-0.109946542278066,-0.0882208432630679,-0.131672241293063
-1.811,-0.109864391262697,-0.0881958461263775,-0.131532936399017
-1.81,-0.109782240188403,-0.0881707163807877,-0.131393763996017
-1.809,-0.109700089052227,-0.0881454535735338,-0.131254724530921
-1.808,-0.109617937851209,-0.0881200572527918,-0.131115818449627
-1.807,-0.109535786582387,-0.0880945269677126,-0.130977046197061
-1.806,-0.109453635242799,-0.0880688622684442,-0.130838408217154
-1.805,-0.109371483829491,-0.0880430627061699,-0.130699904952813
-1.804,-0.109289332339499,-0.0880171278331145,-0.130561536845883
-1.803,-0.109207180769858,-0.0879910572025844,-0.130423304337131
-1.802,-0.109125029117616,-0.0879648503690046,-0.130285207866228
-1.801,-0.109042877379802,-0.087938506887911,-0.130147247871693
-1.8,-0.108960725553463,-0.08791202631603,-0.130009424790896
