"alt","spline_values","ci_upper","ci_lower"
-2,-0.101484340997005,-0.0947813240645442,-0.108187357929465
-1.999,-0.101433633597098,-0.0947339661203572,-0.108133301073839
-1.998,-0.101382926197244,-0.0946866081758784,-0.10807924421861
-1.997,-0.101332218797444,-0.0946392502311081,-0.108025187363779
-1.996,-0.101281511397697,-0.0945918922860463,-0.107971130509347
-1.995,-0.101230803998004,-0.0945445343406931,-0.107917073655314
-1.994,-0.101180096598365,-0.0944971763950486,-0.107863016801681
-1.993,-0.101129389198781,-0.0944498184491129,-0.10780895994845
-1.992,-0.101078681799253,-0.0944024605028861,-0.107754903095619
-1.991,-0.10102797439978,-0.0943551025563684,-0.107700846243191
-1.99,-0.100977267000363,-0.0943077446095597,-0.107646789391166
-1.989,-0.100926559601002,-0.0942603866624603,-0.107592732539545
-1.988,-0.100875852201699,-0.0942130287150703,-0.107538675688327
-1.987,-0.100825144802453,-0.0941656707673897,-0.107484618837515
-1.986,-0.100774437403264,-0.0941183128194187,-0.107430561987109
-1.985,-0.100723730004133,-0.0940709548711574,-0.107376505137109
-1.984,-0.100673022605061,-0.0940235969226059,-0.107322448287517
-1.983,-0.100622315206048,-0.0939762389737644,-0.107268391438332
-1.982,-0.100571607807094,-0.0939288810246331,-0.107214334589555
-1.981,-0.1005209004082,-0.0938815230752119,-0.107160277741188
-1.98,-0.100470193009366,-0.0938341651255012,-0.107106220893231
-1.979,-0.100419485610593,-0.093786807175501,-0.107052164045684
-1.978,-0.10036877821188,-0.0937394492252116,-0.106998107198549
-1.977,-0.10031807081323,-0.0936920912746331,-0.106944050351826
-1.976,-0.100267363414641,-0.0936447333237657,-0.106889993505516
-1.975,-0.100216656016115,-0.0935973753726095,-0.10683593665962
-1.974,-0.100165948617651,-0.0935500174211647,-0.106781879814138
-1.973,-0.100115241219251,-0.0935026594694316,-0.10672782296907
-1.972,-0.100064533820915,-0.0934553015174103,-0.106673766124419
-1.971,-0.100013826422643,-0.093407943565101,-0.106619709280184
-1.97,-0.0999631190244352,-0.0933605856125038,-0.106565652436367
-1.969,-0.099912411626293,-0.093313227659619,-0.106511595592967
-1.968,-0.0998617042282163,-0.0932658697064467,-0.106457538749986
-1.967,-0.0998109968302056,-0.0932185117529873,-0.106403481907424
-1.966,-0.0997602894322615,-0.0931711537992408,-0.106349425065282
-1.965,-0.0997095820343843,-0.0931237958452075,-0.106295368223561
-1.964,-0.0996588746365744,-0.0930764378908875,-0.106241311382261
-1.963,-0.0996081672388324,-0.0930290799362812,-0.106187254541384
-1.962,-0.0995574598411587,-0.0929817219813886,-0.106133197700929
-1.961,-0.0995067524435537,-0.0929343640262101,-0.106079140860897
-1.96,-0.0994560450460179,-0.0928870060707458,-0.10602508402129
-1.959,-0.0994053376485518,-0.092839648114996,-0.105971027182108
-1.958,-0.0993546302511557,-0.0927922901589609,-0.105916970343351
-1.957,-0.0993039228538302,-0.0927449322026407,-0.10586291350502
-1.956,-0.0992532154565758,-0.0926975742460357,-0.105808856667116
-1.955,-0.099202508059393,-0.0926502162891462,-0.10575479982964
-1.954,-0.0991518006622822,-0.0926028583319723,-0.105700742992592
-1.953,-0.099101093265244,-0.0925555003745144,-0.105646686155974
-1.952,-0.0990503858682788,-0.0925081424167728,-0.105592629319785
-1.951,-0.0989996784713871,-0.0924607844587477,-0.105538572484026
-1.95,-0.0989489710745694,-0.0924134265004393,-0.105484515648699
-1.949,-0.0988982636778262,-0.0923660685418481,-0.105430458813804
-1.948,-0.0988475562811581,-0.0923187105829741,-0.105376401979342
-1.947,-0.0987968488845656,-0.0922713526238179,-0.105322345145313
-1.946,-0.0987461414880492,-0.0922239946643796,-0.105268288311719
-1.945,-0.0986954340916094,-0.0921766367046596,-0.105214231478559
-1.944,-0.0986447266952468,-0.0921292787446582,-0.105160174645835
-1.943,-0.0985940192989619,-0.0920819207843757,-0.105106117813548
-1.942,-0.0985433119027551,-0.0920345628238124,-0.105052060981698
-1.941,-0.0984926045066272,-0.0919872048629687,-0.104998004150286
-1.94,-0.0984418971105785,-0.0919398469018448,-0.104943947319312
-1.939,-0.0983911897146096,-0.0918924889404411,-0.104889890488778
