"alt","spline_values","ci_upper","ci_lower"
-2,-0.00136500158632133,-0.00121239082286766,-0.00151761234977501
-1.999,-0.00136430733041858,-0.00121194974401504,-0.00151666491682211
-1.998,-0.00136361307451585,-0.00121150863513673,-0.00151571751389497
-1.997,-0.00136291881861309,-0.00121106749608248,-0.0015147701411437
-1.996,-0.00136222456271037,-0.00121062632670122,-0.00151382279871953
-1.995,-0.00136153030680763,-0.00121018512684074,-0.00151287548677452
-1.994,-0.00136083605090489,-0.00120974389634792,-0.00151192820546187
-1.993,-0.00136014179500219,-0.00120930263506865,-0.00151098095493573
-1.992,-0.00135944753909942,-0.00120886134284764,-0.0015100337353512
-1.991,-0.00135875328319669,-0.00120842001952882,-0.00150908654686456
-1.99,-0.00135805902729398,-0.00120797866495493,-0.00150813938963303
-1.989,-0.00135736477139122,-0.00120753727896763,-0.0015071922638148
-1.988,-0.00135667051548851,-0.00120709586140771,-0.00150624516956931
-1.987,-0.00135597625958575,-0.00120665441211467,-0.00150529810705683
-1.986,-0.00135528200368302,-0.00120621293092715,-0.00150435107643888
-1.985,-0.00135458774778028,-0.00120577141768259,-0.00150340407787796
-1.984,-0.00135389349187755,-0.0012053298722174,-0.00150245711153769
-1.983,-0.00135319923597483,-0.00120488829436687,-0.00150151017758278
-1.982,-0.00135250498007208,-0.00120444668396516,-0.00150056327617901
-1.981,-0.00135181072416933,-0.00120400504084536,-0.0014996164074933
-1.98,-0.00135111646826662,-0.00120356336483949,-0.00149866957169375
-1.979,-0.00135042221236387,-0.00120312165577828,-0.00149772276894945
-1.978,-0.00134972795646112,-0.00120267991349148,-0.00149677599943075
-1.977,-0.00134903370055842,-0.00120223813780768,-0.00149582926330917
-1.976,-0.00134833944465566,-0.00120179632855412,-0.00149488256075721
-1.975,-0.00134764518875295,-0.00120135448555714,-0.00149393589194876
-1.974,-0.00134695093285022,-0.0012009126086417,-0.00149298925705873
-1.973,-0.00134625667694745,-0.00120047069763163,-0.00149204265626327
