"alt","spline_values","ci_upper","ci_lower"
-2,-0.000542435998403906,-0.000269975425134147,-0.000814896571673664
-1.999,-0.000541529074005826,-0.000269438042500152,-0.0008136201055115
-1.998,-0.00054062214960779,-0.00026890063909313,-0.000812343660122449
-1.997,-0.000539715225209726,-0.000268363214828137,-0.000811067235591315
-1.996,-0.000538808300811605,-0.000267825769619773,-0.000809790832003437
-1.995,-0.00053790137641381,-0.000267288303382674,-0.000808514449444946
-1.994,-0.000536994452015431,-0.000266750816029691,-0.00080723808800117
-1.993,-0.000536087527617381,-0.000266213307474994,-0.000805961747759768
-1.992,-0.000535180603219368,-0.00026567577763112,-0.000804685428807616
-1.991,-0.000534273678821275,-0.000265138226410266,-0.000803409131232285
-1.99,-0.000533366754423253,-0.000264600653724496,-0.00080213285512201
-1.989,-0.000532459830025102,-0.000264063059484958,-0.000800856600565246
-1.988,-0.000531552905627028,-0.000263525443602767,-0.000799580367651288
-1.987,-0.000530645981228932,-0.000262987805988245,-0.000798304156469619
-1.986,-0.00052973905683075,-0.000262450146551228,-0.000797027967110273
-1.985,-0.000528832132432875,-0.000261912465201546,-0.000795751799664204
-1.984,-0.000527925208034687,-0.000261374761847558,-0.000794475654221815
-1.983,-0.000527018283636494,-0.000260837036397951,-0.000793199530875038
-1.982,-0.000526111359238656,-0.000260299288761011,-0.000791923429716301
-1.981,-0.000525204434840333,-0.000259761518843404,-0.000790647350837262
-1.98,-0.000524297510442347,-0.000259223726552779,-0.000789371294331915
-1.979,-0.000523390586044411,-0.000258685911795254,-0.000788095260293568
-1.978,-0.000522483661646095,-0.000258148074476343,-0.000786819248815847
-1.977,-0.000521576737248107,-0.000257610214502079,-0.000785543259994136
-1.976,-0.000520669812849869,-0.000257072331776734,-0.000784267293923004
-1.975,-0.000519762888451941,-0.000256534426205139,-0.000782991350698743
-1.974,-0.000518855964053922,-0.000255996497690724,-0.000781715430417121
-1.973,-0.000517949039655794,-0.000255458546136729,-0.000780439533174859
-1.972,-0.000517042115257776,-0.000254920571446013,-0.00077916365906954
-1.971,-0.000516135190859613,-0.000254382573520555,-0.00077788780819867
-1.97,-0.000515228266461542,-0.000253844552262125,-0.000776611980660959
-1.969,-0.000514321342063478,-0.000253306507571757,-0.0007753361765552
-1.968,-0.000513414417665422,-0.000252768439350009,-0.000774060395980835
-1.967,-0.000512507493267175,-0.000252230347496581,-0.000772784639037769
-1.966,-0.000511600568869207,-0.000251692231911318,-0.000771508905827096
-1.965,-0.000510693644470934,-0.00025115409249254,-0.000770233196449328
-1.964,-0.000509786720072882,-0.000250615929138947,-0.000768957511006816
-1.963,-0.000508879795674904,-0.000250077741748144,-0.000767681849601663
-1.962,-0.00050797287127681,-0.000249539530217009,-0.00076640621233661
-1.961,-0.000507065946878705,-0.000249001294442217,-0.000765130599315193
-1.96,-0.000506159022480634,-0.000248463034319731,-0.000763855010641536
