"alt","spline_values","ci_upper","ci_lower"
-3,-0.0011250657382498,-0.000757971165091689,-0.00149216031140791
-2.999,-0.00112470418613984,-0.000757786207588684,-0.00149162216469099
-2.998,-0.00112434263402989,-0.000757601249711705,-0.00149108401834808
-2.997,-0.00112398108191994,-0.000757416291460155,-0.00149054587237973
-2.996,-0.00112361952980998,-0.00075723133283353,-0.00149000772678643
-2.995,-0.00112325797770004,-0.000757046373831299,-0.00148946958156878
-2.994,-0.00112289642559007,-0.000756861414452871,-0.00148893143672728
-2.993,-0.00112253487348012,-0.000756676454697726,-0.00148839329226252
-2.992,-0.00112217332137017,-0.000756491494565331,-0.00148785514817501
-2.991,-0.00112181176926019,-0.000756306534055099,-0.00148731700446529
-2.99,-0.00112145021715025,-0.000756121573166552,-0.00148677886113395
-2.989,-0.00112108866504031,-0.000755936611899107,-0.00148624071818151
-2.988,-0.00112072711293034,-0.00075575165025217,-0.00148570257560852
-2.987,-0.00112036556082038,-0.000755566688225225,-0.00148516443341554
-2.986,-0.00112000400871043,-0.000755381725817729,-0.00148462629160312
-2.985,-0.00111964245660049,-0.000755196763029146,-0.00148408815017182
-2.984,-0.00111928090449054,-0.000755011799858882,-0.00148355000912219
-2.983,-0.00111891935238056,-0.000754826836306397,-0.00148301186845473
-2.982,-0.00111855780027062,-0.000754641872371139,-0.0014824737281701
-2.981,-0.00111819624816066,-0.000754456908052537,-0.00148193558826879
-2.98,-0.00111783469605072,-0.000754271943350056,-0.00148139744875138
-2.979,-0.00111747314394077,-0.000754086978263103,-0.00148085930961843
-2.978,-0.00111711159183082,-0.000753902012791152,-0.00148032117087049
-2.977,-0.00111675003972085,-0.000753717046933616,-0.00147978303250808
-2.976,-0.00111638848761092,-0.000753532080689958,-0.00147924489453187
-2.975,-0.00111602693550094,-0.000753347114059559,-0.00147870675694232
-2.974,-0.00111566538339101,-0.000753162147041939,-0.00147816861974008
-2.973,-0.00111530383128105,-0.00075297717963647,-0.00147763048292563
-2.972,-0.0011149422791711,-0.000752792211842589,-0.00147709234649962
-2.971,-0.00111458072706112,-0.00075260724365972,-0.00147655421046253
-2.97,-0.00111421917495117,-0.000752422275087334,-0.00147601607481501
-2.969,-0.00111385762284123,-0.00075223730612485,-0.00147547793955761
-2.968,-0.00111349607073128,-0.000752052336771673,-0.0014749398046909
-2.967,-0.00111313451862132,-0.000751867367027233,-0.0014744016702154
-2.966,-0.00111277296651135,-0.000751682396890954,-0.00147386353613176
-2.965,-0.0011124114144014,-0.000751497426362285,-0.00147332540244051
-2.964,-0.00111204986229145,-0.000751312455440644,-0.00147278726914226
-2.963,-0.00111168831018149,-0.00075112748412544,-0.00147224913623755
-2.962,-0.00111132675807155,-0.000750942512416111,-0.001471711003727
-2.961,-0.0011109652059616,-0.000750757540312055,-0.00147117287161114
-2.96,-0.00111060365385166,-0.000750572567812716,-0.00147063473989061
-2.959,-0.0011102421017417,-0.000750387594917479,-0.00147009660856591
-2.958,-0.00110988054963174,-0.000750202621625784,-0.00146955847763769
-2.957,-0.00110951899752177,-0.000750017647937045,-0.0014690203471065
-2.956,-0.00110915744541183,-0.000749832673850671,-0.00146848221697299
-2.955,-0.00110879589330187,-0.000749647699366093,-0.00146794408723764
-2.954,-0.00110843434119191,-0.000749462724482703,-0.00146740595790112
-2.953,-0.00110807278908196,-0.000749277749199918,-0.00146686782896401
-2.952,-0.00110771123697201,-0.000749092773517143,-0.00146632970042687
-2.951,-0.00110734968486205,-0.0007489077974338,-0.0014657915722903
-2.95,-0.00110698813275211,-0.000748722820949302,-0.00146525344455491
-2.949,-0.00110662658064215,-0.000748537844063031,-0.00146471531722126
-2.948,-0.00110626502853219,-0.000748352866774395,-0.00146417719028998
-2.947,-0.00110590347642224,-0.000748167889082829,-0.00146363906376165
-2.946,-0.00110554192431229,-0.000747982910987712,-0.00146310093763686
-2.945,-0.00110518037220233,-0.000747797932488438,-0.00146256281191622
-2.944,-0.00110481882009237,-0.000747612953584419,-0.00146202468660032
-2.943,-0.0011044572679824,-0.000747427974275052,-0.00146148656168975
-2.942,-0.00110409571587247,-0.00074724299455976,-0.00146094843718518
-2.941,-0.00110373416376252,-0.000747058014437887,-0.00146041031308715
-2.94,-0.00110337261165254,-0.000746873033908863,-0.00145987218939622
-2.939,-0.00110301105954262,-0.000746688052972102,-0.00145933406611313
-2.938,-0.00110264950743265,-0.000746503071626968,-0.00145879594323833
-2.937,-0.0011022879553227,-0.000746318089872846,-0.00145825782077255
-2.936,-0.00110192640321275,-0.000746133107709142,-0.00145771969871636
-2.935,-0.00110156485110279,-0.000745948125135258,-0.00145718157707033
-2.934,-0.00110120329899282,-0.000745763142150543,-0.0014566434558351
-2.933,-0.00110084174688288,-0.000745578158754451,-0.00145610533501132
-2.932,-0.00110048019477293,-0.00074539317494631,-0.00145556721459956
-2.931,-0.00110011864266297,-0.000745208190725506,-0.00145502909460043
-2.93,-0.00109975709055301,-0.000745023206091469,-0.00145449097501456
-2.929,-0.00109939553844306,-0.000744838221043514,-0.0014539528558426
-2.928,-0.00109903398633311,-0.000744653235581102,-0.00145341473708511
-2.927,-0.00109867243422315,-0.000744468249703555,-0.00145287661874275
-2.926,-0.0010983108821132,-0.000744283263410271,-0.00145233850081613
-2.925,-0.00109794933000326,-0.000744098276700654,-0.00145180038330586
-2.924,-0.00109758777789328,-0.00074391328957399,-0.00145126226621257
-2.923,-0.00109722622578333,-0.000743728302029768,-0.0014507241495369
-2.922,-0.00109686467367338,-0.000743543314067279,-0.00145018603327948
-2.921,-0.00109650312156343,-0.000743358325685944,-0.00144964791744091
-2.92,-0.00109614156945348,-0.000743173336885113,-0.00144910980202185
-2.919,-0.00109578001734351,-0.000742988347664166,-0.00144857168702286
-2.918,-0.00109541846523357,-0.000742803358022459,-0.00144803357244467
-2.917,-0.00109505691312363,-0.000742618367959399,-0.00144749545828786
-2.916,-0.00109469536101367,-0.000742433377474273,-0.00144695734455306
-2.915,-0.0010943338089037,-0.000742248386566508,-0.00144641923124089
-2.914,-0.00109397225679377,-0.000742063395235479,-0.00144588111835207
-2.913,-0.0010936107046838,-0.000741878403480482,-0.00144534300588711
-2.912,-0.00109324915257384,-0.000741693411300933,-0.00144480489384675
-2.911,-0.00109288760046391,-0.0007415084186962,-0.00144426678223161
-2.91,-0.00109252604835393,-0.000741323425665589,-0.00144372867104227
-2.909,-0.00109216449624397,-0.000741138432208506,-0.00144319056027944
-2.908,-0.00109180294413404,-0.000740953438324308,-0.00144265244994376
-2.907,-0.00109144139202409,-0.000740768444012306,-0.00144211434003587
-2.906,-0.00109107983991412,-0.000740583449271882,-0.00144157623055635
-2.905,-0.00109071828780417,-0.000740398454102388,-0.00144103812150595
-2.904,-0.00109035673569421,-0.000740213458503169,-0.00144050001288526
-2.903,-0.00108999518358425,-0.000740028462473575,-0.00143996190469492
-2.902,-0.0010896336314743,-0.000739843466012966,-0.00143942379693564
-2.901,-0.00108927207936434,-0.000739658469120676,-0.00143888568960801
-2.9,-0.0010889105272544,-0.000739473471796058,-0.00143834758271274
-2.899,-0.00108854897514446,-0.000739288474038465,-0.00143780947625045
-2.898,-0.00108818742303448,-0.000739103475847202,-0.00143727137022176
-2.897,-0.00108782587092453,-0.000738918477221642,-0.00143673326462741
-2.896,-0.00108746431881459,-0.000738733478161132,-0.00143619515946805
-2.895,-0.00108710276670463,-0.000738548478665001,-0.00143565705474426
-2.894,-0.00108674121459467,-0.000738363478732563,-0.00143511895045677
-2.893,-0.00108637966248474,-0.000738178478363225,-0.00143458084660626
-2.892,-0.00108601811037476,-0.000737993477556206,-0.00143404274319332
-2.891,-0.00108565655826481,-0.00073780847631096,-0.00143350464021866
-2.89,-0.00108529500615486,-0.000737623474626748,-0.00143296653768297
-2.889,-0.00108493345404491,-0.000737438472502917,-0.00143242843558691
-2.888,-0.00108457190193495,-0.000737253469938794,-0.0014318903339311
-2.887,-0.00108421034982499,-0.000737068466933709,-0.00143135223271627
-2.886,-0.00108384879771503,-0.000736883463486997,-0.00143081413194305
-2.885,-0.00108348724560509,-0.000736698459597991,-0.00143027603161219
-2.884,-0.00108312569349514,-0.000736513455266018,-0.00142973793172427
-2.883,-0.00108276414138518,-0.00073632845049034,-0.00142919983228001
-2.882,-0.00108240258927523,-0.000736143445270344,-0.00142866173328011
-2.881,-0.00108204103716527,-0.000735958439605341,-0.00142812363472521
-2.88,-0.00108167948505531,-0.000735773433494634,-0.001427585536616
-2.879,-0.00108131793294537,-0.000735588426937542,-0.0014270474389532
-2.878,-0.0010809563808354,-0.000735403419933364,-0.00142650934173744
-2.877,-0.00108059482872547,-0.000735218412481469,-0.00142597124496948
-2.876,-0.00108023327661551,-0.000735033404581109,-0.00142543314864992
-2.875,-0.00107987172450555,-0.000734848396231618,-0.00142489505277948
-2.874,-0.00107951017239558,-0.000734663387432319,-0.00142435695735885
-2.873,-0.00107914862028564,-0.00073447837818251,-0.00142381886238876
-2.872,-0.00107878706817567,-0.000734293368481506,-0.00142328076786984
-2.871,-0.00107842551606574,-0.000734108358328608,-0.00142274267380288
-2.87,-0.00107806396395577,-0.000733923347723117,-0.00142220458018843
-2.869,-0.00107770241184582,-0.000733738336664334,-0.00142166648702731
-2.868,-0.00107734085973587,-0.000733553325151561,-0.00142112839432017
-2.867,-0.00107697930762591,-0.000733368313184107,-0.00142059030206771
-2.866,-0.00107661775551598,-0.000733183300761281,-0.00142005221027067
-2.865,-0.00107625620340601,-0.000732998287882339,-0.00141951411892969
-2.864,-0.00107589465129606,-0.000732813274546627,-0.00141897602804549
-2.863,-0.00107553309918611,-0.000732628260753404,-0.00141843793761882
-2.862,-0.00107517154707614,-0.000732443246501964,-0.00141789984765032
-2.861,-0.00107480999496619,-0.000732258231791618,-0.00141736175814076
-2.86,-0.00107444844285626,-0.000732073216621682,-0.00141682366909083
-2.859,-0.00107408689074628,-0.000731888200991356,-0.0014162855805012
-2.858,-0.00107372533863633,-0.00073170318490001,-0.00141574749237266
-2.857,-0.00107336378652638,-0.0007315181683469,-0.00141520940470586
-2.856,-0.00107300223441642,-0.000731333151331295,-0.00141467131750154
-2.855,-0.00107264068230647,-0.000731148133852518,-0.00141413323076042
-2.854,-0.0010722791301965,-0.000730963115909795,-0.00141359514448321
-2.853,-0.00107191757808656,-0.00073077809750247,-0.00141305705867065
-2.852,-0.0010715560259766,-0.000730593078629776,-0.00141251897332343
-2.851,-0.00107119447386666,-0.000730408059291007,-0.00141198088844231
-2.85,-0.0010708329217567,-0.000730223039485432,-0.00141144280402797
-2.849,-0.00107047136964673,-0.000730038019212302,-0.00141090472008116
-2.848,-0.00107010981753679,-0.000729852998470948,-0.00141036663660263
-2.847,-0.00106974826542685,-0.000729667977260621,-0.00140982855359307
-2.846,-0.00106938671331687,-0.000729482955580516,-0.00140929047105323
