"alt","spline_values","ci_upper","ci_lower"
-3,-0.000517019118880105,-5.6217011678979e-05,-0.000977821226081231
-2.999,-0.000516667224998792,-5.61327287790064e-05,-0.000977201721218578
-2.998,-0.000516315331117273,-5.6048444610842e-05,-0.000976582217623704
-2.997,-0.000515963437235807,-5.59641591725185e-05,-0.000975962715299095
-2.996,-0.000515611543354354,-5.58798724618447e-05,-0.000975343214246863
-2.995,-0.000515259649472905,-5.57955844764588e-05,-0.000974723714469352
-2.994,-0.000514907755591501,-5.57112952141877e-05,-0.000974104215968815
-2.993,-0.000514555861710018,-5.56270046727785e-05,-0.000973484718747257
-2.992,-0.000514203967828589,-5.5542712850043e-05,-0.000972865222807135
-2.991,-0.000513852073947161,-5.54584197437358e-05,-0.000972245728150585
-2.99,-0.000513500180065818,-5.53741253516741e-05,-0.000971626234779961
-2.989,-0.000513148286184226,-5.52898296713135e-05,-0.000971006742697139
-2.988,-0.000512796392302937,-5.52055327007809e-05,-0.000970387251905094
-2.987,-0.000512444498421449,-5.5121234437434e-05,-0.000969767762405463
-2.986,-0.000512092604539904,-5.50369348791965e-05,-0.000969148274200611
-2.985,-0.000511740710658537,-5.4952634023929e-05,-0.000968528787293145
-2.984,-0.000511388816777125,-5.48683318691701e-05,-0.000967909301685079
-2.983,-0.000511036922895617,-5.47840284125714e-05,-0.000967289817378662
-2.982,-0.000510685029014179,-5.46997236520314e-05,-0.000966670334376326
-2.981,-0.000510333135132847,-5.4615417585224e-05,-0.000966050852680469
-2.98,-0.000509981241251355,-5.45311102096354e-05,-0.000965431372293075
-2.979,-0.000509629347369797,-5.44468015230522e-05,-0.000964811893216542
-2.978,-0.000509277453488332,-5.43624915233163e-05,-0.000964192415453347
-2.977,-0.000508925559606965,-5.42781802081276e-05,-0.000963572939005803
-2.976,-0.000508573665725516,-5.41938675749037e-05,-0.000962953463876129
-2.975,-0.000508221771844113,-5.41095536215374e-05,-0.000962333990066688
-2.974,-0.00050786987796277,-5.40252383456576e-05,-0.000961714517579882
-2.973,-0.000507517984081287,-5.39409217447417e-05,-0.000961095046417833
-2.972,-0.000507166090199905,-5.38566038166448e-05,-0.000960475576583165
-2.971,-0.000506814196318388,-5.37722845588397e-05,-0.000959856108077937
-2.97,-0.000506462302436939,-5.36879639691745e-05,-0.000959236640904704
-2.969,-0.000506110408555467,-5.36036420451447e-05,-0.00095861717506579
-2.968,-0.000505758514674032,-5.35193187844492e-05,-0.000957997710563615
-2.967,-0.000505406620792598,-5.34349941846898e-05,-0.000957378247400506
-2.966,-0.000505054726911112,-5.33506682434323e-05,-0.000956758785578791
-2.965,-0.000504702833029693,-5.32663409584256e-05,-0.00095613932510096
-2.964,-0.000504350939148325,-5.31820123273211e-05,-0.00095551986596933
-2.963,-0.000503999045266892,-5.30976823474425e-05,-0.000954900408186341
-2.962,-0.000503647151385223,-5.30133510163035e-05,-0.000954280951754143
-2.961,-0.000503295257503941,-5.29290183321561e-05,-0.000953661496675726
-2.96,-0.000502943363622579,-5.28446842921407e-05,-0.000953042042953017
-2.959,-0.00050259146974104,-5.27603488936015e-05,-0.000952422590588478
-2.958,-0.000502239575859639,-5.26760121346004e-05,-0.000951803139584677
-2.957,-0.000501887681978149,-5.25916740123469e-05,-0.000951183689943952
-2.956,-0.000501535788096781,-5.2507334524683e-05,-0.000950564241668879
-2.955,-0.000501183894215222,-5.24229936688395e-05,-0.000949944794761604
-2.954,-0.000500832000333939,-5.23386514428023e-05,-0.000949325349225076
-2.953,-0.00050048010645245,-5.22543078437051e-05,-0.000948705905061194
-2.952,-0.000500128212570948,-5.21699628691756e-05,-0.000948086462272721
