"alt","spline_values","ci_upper","ci_lower"
-3,-0.000348416207742769,-0.000111757383421311,-0.000585075032064226
-2.999,-0.000348399047800617,-0.00011191119681335,-0.000584886898787884
-2.998,-0.000348381887858437,-0.000112065007011599,-0.000584698768705276
-2.997,-0.000348364727916289,-0.000112218814009178,-0.000584510641823401
-2.996,-0.000348347567974116,-0.000112372617799076,-0.000584322518149155
-2.995,-0.000348330408031941,-0.000112526418374334,-0.000584134397689548
-2.994,-0.00034831324808978,-0.000112680215727979,-0.000583946280451581
-2.993,-0.000348296088147609,-0.00011283400985296,-0.000583758166442258
-2.992,-0.000348278928205454,-0.000112987800742269,-0.000583570055668639
-2.991,-0.000348261768263282,-0.000113141588388816,-0.000583381948137747
-2.99,-0.000348244608321132,-0.000113295372785567,-0.000583193843856698
-2.989,-0.000348227448378949,-0.000113449153925354,-0.000583005742832543
-2.988,-0.000348210288436785,-0.000113602931801123,-0.000582817645072446
-2.987,-0.000348193128494619,-0.000113756706405714,-0.000582629550583524
-2.986,-0.000348175968552471,-0.000113910477731973,-0.000582441459372968
-2.985,-0.000348158808610294,-0.000114064245772689,-0.000582253371447898
-2.984,-0.00034814164866812,-0.000114218010520672,-0.000582065286815568
-2.983,-0.00034812448872596,-0.000114371771968732,-0.000581877205483189
-2.982,-0.000348107328783797,-0.000114525530109593,-0.000581689127458001
-2.981,-0.000348090168841625,-0.000114679284935983,-0.000581501052747267
-2.98,-0.000348073008899467,-0.000114833036440646,-0.000581312981358288
-2.979,-0.000348055848957307,-0.00011498678461626,-0.000581124913298355
-2.978,-0.000348038689015126,-0.000115140529455466,-0.000580936848574787
-2.977,-0.000348021529072971,-0.00011529427095097,-0.000580748787194972
-2.976,-0.000348004369130803,-0.000115448009095359,-0.000580560729166246
-2.975,-0.000347987209188642,-0.000115601743881256,-0.000580372674496028
-2.974,-0.000347970049246468,-0.000115755475301239,-0.000580184623191697
-2.973,-0.000347952889304313,-0.000115909203347885,-0.000579996575260741
-2.972,-0.000347935729362146,-0.000116062928013718,-0.000579808530710574
