"alt","spline_values","ci_upper","ci_lower"
-3,-0.000555280141419376,-0.000403569021879741,-0.000706991260959011
-2.999,-0.000554882612450887,-0.000403341805354796,-0.000706423419546978
-2.998,-0.00055448508348243,-0.000403114561992743,-0.000705855604972117
-2.997,-0.000554087554513982,-0.000402887291702889,-0.000705287817325075
-2.996,-0.000553690025545506,-0.000402659994394127,-0.000704720056696885
-2.995,-0.000553292496577046,-0.000402432669975035,-0.000704152323179057
-2.994,-0.000552894967608593,-0.00040220531835374,-0.000703584616863446
-2.993,-0.000552497438640117,-0.000401977939437951,-0.000703016937842284
-2.992,-0.000552099909671655,-0.000401750533135035,-0.000702449286208275
-2.991,-0.000551702380703203,-0.000401523099351918,-0.000701881662054489
-2.99,-0.000551304851734749,-0.000401295637995102,-0.000701314065474396
-2.989,-0.000550907322766273,-0.000401068148970687,-0.000700746496561859
-2.988,-0.00055050979379782,-0.000400840632184415,-0.000700178955411225
-2.987,-0.000550112264829349,-0.00040061308754153,-0.000699611442117168
-2.986,-0.000549714735860885,-0.00040038551494693,-0.00069904395677484
-2.985,-0.000549317206892424,-0.000400157914305063,-0.000698476499479786
-2.984,-0.000548919677923966,-0.000399930285519963,-0.000697909070327968
-2.983,-0.000548522148955503,-0.000399702628495227,-0.00069734166941578
-2.982,-0.000548124619987038,-0.000399474943134055,-0.000696774296840022
-2.981,-0.00054772709101858,-0.000399247229339206,-0.000696206952697954
-2.98,-0.000547329562050104,-0.00039901948701299,-0.000695639637087217
-2.979,-0.000546932033081648,-0.000398791716057343,-0.000695072350105952
-2.978,-0.000546534504113189,-0.000398563916373704,-0.000694505091852675
-2.977,-0.000546136975144721,-0.000398336087863099,-0.000693937862426344
-2.976,-0.000545739446176267,-0.00039810823042614,-0.000693370661926393
-2.975,-0.000545341917207805,-0.000397880343962963,-0.000692803490452646
-2.974,-0.000544944388239334,-0.00039765242837327,-0.000692236348105399
-2.973,-0.00054454685927087,-0.000397424483556333,-0.000691669234985407
-2.972,-0.000544149330302415,-0.00039719650941098,-0.00069110215119385
-2.971,-0.000543751801333947,-0.000396968505835546,-0.000690535096832349
-2.97,-0.000543354272365484,-0.000396740472727961,-0.000689968072003007
-2.969,-0.000542956743397031,-0.000396512409985698,-0.000689401076808364
-2.968,-0.000542559214428556,-0.000396284317505717,-0.000688834111351394
-2.967,-0.000542161685460105,-0.0003960561951846,-0.00068826717573561
-2.966,-0.000541764156491635,-0.0003958280429184,-0.00068770027006487
-2.965,-0.000541366627523179,-0.000395599860602747,-0.00068713339444361
-2.964,-0.000540969098554699,-0.000395371648132758,-0.00068656654897664
-2.963,-0.000540571569586252,-0.000395143405403165,-0.000685999733769339
-2.962,-0.0005401740406178,-0.000394915132308136,-0.000685432948927464
-2.961,-0.000539776511649313,-0.000394686828741372,-0.000684866194557254
-2.96,-0.000539378982680862,-0.000394458494596198,-0.000684299470765527
-2.959,-0.000538981453712403,-0.000394230129765342,-0.000683732777659463
-2.958,-0.000538583924743932,-0.000394001734141093,-0.000683166115346771
-2.957,-0.000538186395775482,-0.000393773307615289,-0.000682599483935675
-2.956,-0.000537788866807014,-0.000393544850079215,-0.000682032883534813
-2.955,-0.000537391337838542,-0.000393316361423704,-0.000681466314253381
-2.954,-0.000536993808870083,-0.000393087841539115,-0.000680899776201051
-2.953,-0.000536596279901623,-0.000392859290315278,-0.000680333269487969
-2.952,-0.000536198750933162,-0.000392630707641527,-0.000679766794224798
-2.951,-0.000535801221964687,-0.000392402093406696,-0.000679200350522677
-2.95,-0.000535403692996234,-0.000392173447499159,-0.000678633938493309
-2.949,-0.000535006164027779,-0.000391944769806719,-0.000678067558248838
-2.948,-0.000534608635059311,-0.000391716060216691,-0.00067750120990193
-2.947,-0.000534211106090841,-0.000391487318615905,-0.000676934893565778
-2.946,-0.000533813577122393,-0.000391258544890661,-0.000676368609354124
-2.945,-0.000533416048153912,-0.000391029738926703,-0.000675802357381122
-2.944,-0.000533018519185455,-0.000390800900609336,-0.000675236137761573
-2.943,-0.000532620990217001,-0.000390572029823277,-0.000674669950610725
-2.942,-0.000532223461248538,-0.000390343126452726,-0.00067410379604435
-2.941,-0.00053182593228008,-0.000390114190381373,-0.000673537674178788
-2.94,-0.000531428403311613,-0.000389885221492362,-0.000672971585130865
-2.939,-0.000531030874343145,-0.000389656219668311,-0.00067240552901798
-2.938,-0.00053063334537467,-0.000389427184791289,-0.000671839505958052
-2.937,-0.000530235816406232,-0.000389198116742881,-0.000671273516069583
-2.936,-0.000529838287437758,-0.000388969015404009,-0.000670707559471506
-2.935,-0.000529440758469301,-0.000388739880655172,-0.00067014163628343
-2.934,-0.000529043229500834,-0.000388510712376244,-0.000669575746625425
-2.933,-0.000528645700532377,-0.000388281510446588,-0.000669009890618166
-2.932,-0.000528248171563901,-0.000388052274744968,-0.000668444068382834
-2.931,-0.000527850642595446,-0.000387823005149658,-0.000667878280041233
-2.93,-0.000527453113626983,-0.0003875937015383,-0.000667312525715666
-2.929,-0.000527055584658506,-0.000387364363787994,-0.000666746805529018
-2.928,-0.000526658055690062,-0.000387134991775321,-0.000666181119604802
-2.927,-0.000526260526721595,-0.000386905585376207,-0.000665615468066983
-2.926,-0.000525862997753131,-0.000386676144466059,-0.000665049851040203
-2.925,-0.000525465468784671,-0.000386446668919706,-0.000664484268649636
-2.924,-0.000525067939816214,-0.000386217158611377,-0.000663918721021052
-2.923,-0.000524670410847756,-0.000385987613414729,-0.000663353208280784
-2.922,-0.000524272881879282,-0.000385758033202807,-0.000662787730555758
-2.921,-0.000523875352910827,-0.000385528417848129,-0.000662222287973524
-2.92,-0.000523477823942359,-0.000385298767222551,-0.000661656880662166
-2.919,-0.000523080294973886,-0.000385069081197363,-0.00066109150875041
-2.918,-0.000522682766005436,-0.000384839359643281,-0.000660526172367592
-2.917,-0.000522285237036975,-0.000384609602430362,-0.000659960871643588
-2.916,-0.000521887708068504,-0.000384379809428084,-0.000659395606708925
-2.915,-0.000521490179100049,-0.00038414998050534,-0.000658830377694758
-2.914,-0.000521092650131594,-0.000383920115530372,-0.000658265184732816
-2.913,-0.000520695121163116,-0.000383690214370799,-0.000657700027955434
-2.912,-0.000520297592194661,-0.000383460276893688,-0.000657134907495634
-2.911,-0.000519900063226196,-0.0003832303029654,-0.000656569823486991
-2.91,-0.000519502534257728,-0.000383000292451709,-0.000656004776063748
-2.909,-0.00051910500528927,-0.00038277024521777,-0.000655439765360769
-2.908,-0.000518707476320806,-0.000382540161128075,-0.000654874791513537
-2.907,-0.000518309947352349,-0.000382310040046498,-0.000654309854658199
-2.906,-0.000517912418383878,-0.000382079881836254,-0.000653744954931502
-2.905,-0.000517514889415425,-0.000381849686359957,-0.000653180092470894
-2.904,-0.000517117360446964,-0.000381619453479508,-0.00065261526741442
-2.903,-0.000516719831478489,-0.000381389183056185,-0.000652050479900793
-2.902,-0.000516322302510033,-0.000381158874950658,-0.000651485730069408
-2.901,-0.000515924773541579,-0.000380928529022867,-0.000650921018060292
-2.9,-0.0005155272445731,-0.000380698145132097,-0.000650356344014103
-2.899,-0.000515129715604645,-0.000380467723137033,-0.000649791708072256
-2.898,-0.000514732186636185,-0.000380237262895615,-0.000649227110376755
-2.897,-0.00051433465766771,-0.00038000676426513,-0.000648662551070291
-2.896,-0.000513937128699251,-0.000379776227102223,-0.000648098030296278
-2.895,-0.000513539599730803,-0.000379545651262824,-0.000647533548198783
-2.894,-0.000513142070762338,-0.000379315036602157,-0.00064696910492252
-2.893,-0.000512744541793876,-0.000379084382974801,-0.000646404700612952
-2.892,-0.000512347012825411,-0.00037885369023462,-0.000645840335416203
-2.891,-0.000511949483856946,-0.000378622958234785,-0.000645276009479107
-2.89,-0.000511551954888469,-0.000378392186827753,-0.000644711722949185
-2.889,-0.000511154425920026,-0.000378161375865334,-0.000644147475974718
-2.888,-0.000510756896951562,-0.000377930525198527,-0.000643583268704596
-2.887,-0.000510359367983091,-0.000377699634677689,-0.000643019101288493
-2.886,-0.000509961839014628,-0.000377468704152464,-0.000642454973876792
-2.885,-0.000509564310046163,-0.000377237733471743,-0.000641890886620583
-2.884,-0.000509166781077704,-0.000377006722483708,-0.0006413268396717
-2.883,-0.000508769252109234,-0.000376775671035804,-0.000640762833182665
-2.882,-0.000508371723140785,-0.000376544578974767,-0.000640198867306803
-2.881,-0.000507974194172314,-0.000376313446146535,-0.000639634942198093
-2.88,-0.000507576665203852,-0.000376082272396381,-0.000639071058011323
-2.879,-0.000507179136235398,-0.000375851057568792,-0.000638507214902004
-2.878,-0.000506781607266927,-0.000375619801507481,-0.000637943413026373
-2.877,-0.000506384078298474,-0.000375388504055467,-0.00063737965254148
-2.876,-0.00050598654933001,-0.000375157165054962,-0.000636815933605058
-2.875,-0.000505589020361547,-0.000374925784347426,-0.000636252256375669
-2.874,-0.000505191491393069,-0.000374694361773546,-0.000635688621012592
-2.873,-0.000504793962424621,-0.00037446289717329,-0.000635125027675952
-2.872,-0.000504396433456153,-0.00037423139038576,-0.000634561476526546
-2.871,-0.000503998904487678,-0.000373999841249334,-0.000633997967726022
-2.87,-0.000503601375519233,-0.00037376824960163,-0.000633434501436837
-2.869,-0.000503203846550766,-0.000373536615279389,-0.000632871077822143
-2.868,-0.0005028063175823,-0.000373304938118637,-0.000632307697045964
-2.867,-0.000502408788613848,-0.000373073217954582,-0.000631744359273114
-2.866,-0.000502011259645385,-0.000372841454621599,-0.000631181064669171
-2.865,-0.000501613730676925,-0.000372609647953285,-0.000630617813400564
-2.864,-0.000501216201708461,-0.000372377797782414,-0.000630054605634508
-2.863,-0.000500818672739996,-0.000372145903940944,-0.000629491441539047
-2.862,-0.000500421143771526,-0.000371913966260011,-0.000628928321283041
-2.861,-0.00050002361480306,-0.000371681984569934,-0.000628365245036187
-2.86,-0.000499626085834613,-0.000371449958700203,-0.000627802212969023
-2.859,-0.000499228556866138,-0.000371217888479415,-0.000627239225252861
-2.858,-0.000498831027897673,-0.000370985773735408,-0.000626676282059938
-2.857,-0.000498433498929223,-0.000370753614295144,-0.000626113383563302
-2.856,-0.000498035969960749,-0.000370521409984692,-0.000625550529936806
-2.855,-0.000497638440992281,-0.000370289160629324,-0.000624987721355238
-2.854,-0.000497240912023833,-0.000370056866053446,-0.00062442495799422
-2.853,-0.000496843383055367,-0.000369824526080542,-0.000623862240030191
-2.852,-0.000496445854086892,-0.000369592140533274,-0.00062329956764051
-2.851,-0.000496048325118444,-0.00036935970923345,-0.000622736941003438
-2.85,-0.000495650796149976,-0.000369127232001924,-0.000622174360298028
-2.849,-0.000495253267181519,-0.000368894708658734,-0.000621611825704304
-2.848,-0.000494855738213058,-0.000368662139022983,-0.000621049337403133
-2.847,-0.000494458209244595,-0.000368429522912899,-0.000620486895576291
-2.846,-0.000494060680276126,-0.000368196860145794,-0.000619924500406458
-2.845,-0.000493663151307662,-0.000367964150538095,-0.000619362152077228
-2.844,-0.000493265622339202,-0.000367731393905311,-0.000618799850773093
-2.843,-0.000492868093370739,-0.000367498590062013,-0.000618237596679466
-2.842,-0.000492470564402267,-0.000367265738821857,-0.000617675389982677
-2.841,-0.000492073035433819,-0.000367032839997616,-0.000617113230870021
-2.84,-0.000491675506465355,-0.000366799893401052,-0.000616551119529657
-2.839,-0.000491277977496879,-0.00036656689884303,-0.000615989056150728
-2.838,-0.000490880448528418,-0.000366333856133502,-0.000615427040923334
-2.837,-0.000490482919559981,-0.000366100765081431,-0.000614865074038531
-2.836,-0.000490085390591497,-0.000365867625494777,-0.000614303155688218
-2.835,-0.00048968786162304,-0.000365634437180661,-0.000613741286065419
-2.834,-0.000489290332654582,-0.000365401199945145,-0.00061317946536402
-2.833,-0.000488892803686112,-0.000365167913593321,-0.000612617693778903
