"alt","spline_values","ci_upper","ci_lower"
-3,-0.208153394982105,-0.0942707401248241,-0.322036049839385
-2.999,-0.208070418625219,-0.0942691168676203,-0.321871720382818
-2.998,-0.207987442268336,-0.094267492643519,-0.321707391893152
-2.997,-0.20790446591145,-0.0942658674504344,-0.321543064372466
-2.996,-0.20782148955457,-0.0942642412862983,-0.321378737822841
-2.995,-0.20773851319768,-0.0942626141490024,-0.321214412246358
-2.994,-0.207655536840795,-0.0942609860364706,-0.321050087645119
-2.993,-0.207572560483913,-0.0942593569465994,-0.320885764021226
-2.992,-0.20748958412703,-0.0942577268772763,-0.320721441376784
-2.991,-0.207406607770155,-0.0942560958263993,-0.32055711971391
-2.99,-0.207323631413265,-0.0942544637918283,-0.320392799034702
-2.989,-0.207240655056374,-0.0942528307714491,-0.320228479341299
-2.988,-0.207157678699502,-0.0942511967631535,-0.320064160635851
-2.987,-0.207074702342608,-0.0942495617647634,-0.319899842920452
-2.986,-0.206991725985712,-0.0942479257741575,-0.319735526197266
-2.985,-0.206908749628843,-0.0942462887892133,-0.319571210468473
-2.984,-0.206825773271956,-0.0942446508077314,-0.319406895736181
-2.983,-0.206742796915071,-0.0942430118275689,-0.319242582002573
-2.982,-0.206659820558185,-0.0942413718465578,-0.319078269269812
-2.981,-0.206576844201303,-0.0942397308625288,-0.318913957540077
-2.98,-0.20649386784442,-0.0942380888732934,-0.318749646815546
-2.979,-0.206410891487532,-0.0942364458766659,-0.318585337098399
-2.978,-0.206327915130654,-0.0942348018704646,-0.318421028390844
-2.977,-0.206244938773769,-0.0942331568524734,-0.318256720695064
-2.976,-0.206161962416882,-0.0942315108204943,-0.318092414013269
-2.975,-0.206078986060003,-0.094229863772325,-0.317928108347682
-2.974,-0.20599600970311,-0.0942282157057232,-0.317763803700497
-2.973,-0.205913033346233,-0.0942265666184947,-0.317599500073971
-2.972,-0.205830056989354,-0.0942249165083902,-0.317435197470317
-2.971,-0.205747080632462,-0.0942232653731624,-0.317270895891761
-2.97,-0.205664104275576,-0.0942216132105841,-0.317106595340568
-2.969,-0.205581127918701,-0.0942199600184125,-0.31694229581899
-2.968,-0.205498151561816,-0.0942183057943664,-0.316777997329266
-2.967,-0.205415175204929,-0.094216650536189,-0.316613699873669
-2.966,-0.205332198848037,-0.0942149942416103,-0.316449403454464
-2.965,-0.205249222491161,-0.094213336908373,-0.31628510807395
-2.964,-0.205166246134272,-0.0942116785341633,-0.31612081373438
-2.963,-0.205083269777389,-0.0942100191167101,-0.315956520438069
-2.962,-0.20500029342051,-0.0942083586537158,-0.315792228187304
-2.961,-0.20491731706362,-0.0942066971428591,-0.315627936984381
-2.96,-0.204834340706734,-0.0942050345818448,-0.315463646831623
-2.959,-0.204751364349858,-0.0942033709683654,-0.315299357731351
-2.958,-0.204668387992973,-0.094201706300072,-0.315135069685873
-2.957,-0.204585411636084,-0.0942000405746435,-0.314970782697524
-2.956,-0.204502435279211,-0.0941983737897582,-0.314806496768663
-2.955,-0.204419458922317,-0.0941967059430383,-0.314642211901595
-2.954,-0.204336482565429,-0.0941950370321556,-0.314477928098702
-2.953,-0.204253506208551,-0.0941933670547574,-0.314313645362344
-2.952,-0.204170529851669,-0.0941916960084667,-0.314149363694871
-2.951,-0.204087553494783,-0.0941900238909027,-0.313985083098662
-2.95,-0.204004577137898,-0.0941883506997038,-0.313820803576093
-2.949,-0.203921600781011,-0.0941866764324685,-0.313656525129553
-2.948,-0.203838624424126,-0.0941850010868165,-0.313492247761436
-2.947,-0.203755648067242,-0.0941833246603398,-0.313327971474144
-2.946,-0.203672671710367,-0.0941816471506415,-0.313163696270092
-2.945,-0.203589695353475,-0.0941799685552812,-0.31299942215167
-2.944,-0.203506718996588,-0.0941782888718576,-0.312835149121319
-2.943,-0.203423742639712,-0.0941766080979514,-0.312670877181473
-2.942,-0.203340766282826,-0.0941749262310988,-0.312506606334553
-2.941,-0.203257789925938,-0.0941732432688699,-0.312342336583005
-2.94,-0.203174813569055,-0.0941715592088166,-0.312178067929293
-2.939,-0.20309183721217,-0.0941698740484791,-0.31201380037586
-2.938,-0.20300886085529,-0.0941681877853951,-0.311849533925184
-2.937,-0.202925884498414,-0.0941665004170917,-0.311685268579736
-2.936,-0.202842908141519,-0.0941648119410643,-0.311521004341973
-2.935,-0.202759931784637,-0.094163122354864,-0.31135674121441
-2.934,-0.202676955427757,-0.0941614316559758,-0.311192479199538
-2.933,-0.202593979070866,-0.0941597398418902,-0.311028218299841
-2.932,-0.202511002713984,-0.0941580469101174,-0.31086395851785
-2.931,-0.202428026357101,-0.0941563528581281,-0.310699699856074
-2.93,-0.202345050000219,-0.0941546576833978,-0.31053544231704
