"alt","spline_values","ci_upper","ci_lower"
-3,-0.610431848171565,-0.531147406888974,-0.689716289454157
-2.999,-0.610053303636736,-0.53083695224724,-0.689269655026232
-2.998,-0.609674759101881,-0.530526496243963,-0.688823021959799
-2.997,-0.609296214567044,-0.530216038875667,-0.68837639025842
-2.996,-0.608917670032211,-0.529905580138809,-0.687929759925612
-2.995,-0.608539125497362,-0.529595120029831,-0.687483130964893
-2.994,-0.608160580962527,-0.529284658545206,-0.687036503379848
-2.993,-0.6077820364277,-0.528974195681364,-0.686589877174035
-2.992,-0.607403491892851,-0.528663731434699,-0.686143252351003
-2.991,-0.607024947358015,-0.528353265801654,-0.685696628914376
-2.99,-0.60664640282318,-0.528042798778615,-0.685250006867745
-2.989,-0.606267858288336,-0.52773233036196,-0.684803386214713
-2.988,-0.605889313753495,-0.527421860548071,-0.684356766958918
-2.987,-0.605510769218663,-0.527111389333314,-0.683910149104012
-2.986,-0.605132224683833,-0.526800916714029,-0.683463532653637
-2.985,-0.604753680148974,-0.526490442686528,-0.68301691761142
-2.984,-0.604375135614149,-0.526179967247184,-0.682570303981114
-2.983,-0.603996591079314,-0.525869490392271,-0.682123691766357
-2.982,-0.603618046544472,-0.525559012118086,-0.681677080970857
-2.981,-0.603239502009636,-0.525248532420928,-0.681230471598344
-2.98,-0.602860957474797,-0.524938051297059,-0.680783863652534
-2.979,-0.60248241293996,-0.524627568742739,-0.680337257137181
-2.978,-0.602103868405108,-0.524317084754202,-0.679890652056014
-2.977,-0.601725323870281,-0.524006599327713,-0.67944404841285
-2.976,-0.601346779335435,-0.523696112459451,-0.678997446211419
-2.975,-0.6009682348006,-0.52338562414565,-0.678550845455549
-2.974,-0.600589690265759,-0.52307513438249,-0.678104246149027
-2.973,-0.60021114573092,-0.522764643166151,-0.677657648295689
-2.972,-0.599832601196081,-0.522454150492803,-0.677211051899358
-2.971,-0.599454056661247,-0.522143656358599,-0.676764456963894
-2.97,-0.599075512126416,-0.52183316075968,-0.676317863493152
-2.969,-0.598696967591576,-0.521522663692155,-0.675871271490996
-2.968,-0.598318423056745,-0.521212165152158,-0.675424680961332
-2.967,-0.597939878521902,-0.520901665135766,-0.674978091908038
-2.966,-0.597561333987054,-0.520591163639068,-0.67453150433504
-2.965,-0.597182789452222,-0.520280660658156,-0.674084918246288
-2.964,-0.596804244917388,-0.519970156189069,-0.673638333645708
-2.963,-0.596425700382547,-0.519659650227845,-0.67319175053725
-2.962,-0.596047155847701,-0.519349142770517,-0.672745168924884
-2.961,-0.595668611312875,-0.519038633813122,-0.672298588812628
-2.96,-0.595290066778024,-0.51872812335162,-0.671852010204429
-2.959,-0.594911522243183,-0.518417611382028,-0.671405433104338
-2.958,-0.594532977708354,-0.518107097900322,-0.670958857516386
-2.957,-0.594154433173511,-0.517796582902436,-0.670512283444585
-2.956,-0.59377588863867,-0.517486066384329,-0.67006571089301
-2.955,-0.593397344103845,-0.517175548341944,-0.669619139865746
-2.954,-0.593018799568999,-0.516865028771161,-0.669172570366837
-2.953,-0.592640255034158,-0.516554507667905,-0.66872600240041
-2.952,-0.592261710499327,-0.516243985028067,-0.668279435970586
-2.951,-0.591883165964484,-0.515933460847498,-0.66783287108147
-2.95,-0.591504621429642,-0.515622935122066,-0.667386307737219
-2.949,-0.591126076894817,-0.515312407847627,-0.666939745942007
-2.948,-0.590747532359984,-0.515001879019986,-0.666493185699982
-2.947,-0.590368987825125,-0.514691348634941,-0.666046627015309
-2.946,-0.589990443290285,-0.514380816688328,-0.665600069892243
-2.945,-0.589611898755454,-0.514070283175918,-0.66515351433499
-2.944,-0.589233354220617,-0.513759748093468,-0.664706960347766
-2.943,-0.588854809685775,-0.51344921143673,-0.66426040793482
-2.942,-0.588476265150943,-0.513138673201453,-0.663813857100432
-2.941,-0.588097720616098,-0.512828133383338,-0.663367307848857
-2.94,-0.587719176081256,-0.512517591978107,-0.662920760184405
-2.939,-0.587340631546431,-0.51220704898146,-0.662474214111401
