"alt","spline_values","ci_upper","ci_lower"
-3,-0.00104043976736683,-0.000675133360338815,-0.00140574617439484
-2.999,-0.00104006542700209,-0.000674934714018749,-0.00140519613998543
-2.998,-0.00103969108663734,-0.000674736067271596,-0.00140464610600308
-2.997,-0.00103931674627262,-0.000674537420096764,-0.00140409607244847
-2.996,-0.00103894240590789,-0.000674338772493612,-0.00140354603932218
-2.995,-0.00103856806554316,-0.000674140124461522,-0.0014029960066248
-2.994,-0.00103819372517844,-0.000673941475999888,-0.00140244597435699
-2.993,-0.0010378193848137,-0.00067374282710806,-0.00140189594251935
-2.992,-0.00103744504444896,-0.000673544177785437,-0.00140134591111248
-2.991,-0.00103707070408424,-0.000673345528031403,-0.00140079588013708
-2.99,-0.00103669636371952,-0.000673146877845312,-0.00140024584959372
-2.989,-0.00103632202335478,-0.000672948227226536,-0.00139969581948302
-2.988,-0.00103594768299004,-0.000672749576174459,-0.00139914578980561
-2.987,-0.00103557334262532,-0.000672550924688461,-0.00139859576056217
-2.986,-0.00103519900226056,-0.00067235227276788,-0.00139804573175325
-2.985,-0.00103482466189583,-0.000672153620412116,-0.00139749570337955
-2.984,-0.0010344503215311,-0.000671954967620525,-0.00139694567544167
-2.983,-0.00103407598116638,-0.000671756314392476,-0.00139639564794028
-2.982,-0.00103370164080166,-0.000671557660727336,-0.00139584562087599
-2.981,-0.00103332730043692,-0.00067135900662444,-0.0013952955942494
-2.98,-0.00103295296007219,-0.000671160352083183,-0.00139474556806119
-2.979,-0.00103257861970745,-0.000670961697102913,-0.00139419554231198
-2.978,-0.00103220427934272,-0.000670763041683001,-0.00139364551700244
-2.977,-0.001031829938978,-0.000670564385822798,-0.0013930954921332
-2.976,-0.00103145559861325,-0.00067036572952165,-0.00139254546770486
-2.975,-0.00103108125824853,-0.000670167072778939,-0.00139199544371813
-2.974,-0.00103070691788379,-0.000669968415593987,-0.00139144542017358
-2.973,-0.00103033257751906,-0.000669769757966176,-0.00139089539707195
-2.972,-0.00102995823715435,-0.000669571099894859,-0.00139034537441384
-2.971,-0.00102958389678958,-0.000669372441379341,-0.00138979535219982
-2.97,-0.00102920955642487,-0.000669173782419036,-0.0013892453304307
-2.969,-0.00102883521606013,-0.000668975123013254,-0.001388695309107
-2.968,-0.0010284608756954,-0.000668776463161358,-0.00138814528822945
-2.967,-0.00102808653533066,-0.000668577802862668,-0.00138759526779865
-2.966,-0.00102771219496593,-0.000668379142116567,-0.0013870452478153
-2.965,-0.00102733785460118,-0.000668180480922362,-0.00138649522828001
-2.964,-0.00102696351423646,-0.000667981819279427,-0.0013859452091935
-2.963,-0.00102658917387175,-0.000667783157187096,-0.0013853951905564
-2.962,-0.00102621483350699,-0.000667584494644677,-0.00138484517236931
-2.961,-0.00102584049314225,-0.000667385831651546,-0.00138429515463296
-2.96,-0.00102546615277755,-0.000667187168207035,-0.00138374513734806
-2.959,-0.00102509181241281,-0.000666988504310458,-0.00138319512051516
-2.958,-0.00102471747204809,-0.000666789839961172,-0.00138264510413501
-2.957,-0.00102434313168335,-0.000666591175158487,-0.00138209508820821
-2.956,-0.0010239687913186,-0.000666392509901741,-0.00138154507273545
-2.955,-0.0010235944509539,-0.000666193844190304,-0.00138099505771749
-2.954,-0.00102322011058916,-0.000665995178023451,-0.00138044504315486
-2.953,-0.00102284577022443,-0.00066579651140054,-0.00137989502904832
-2.952,-0.00102247142985969,-0.000665597844320876,-0.0013793450153985
-2.951,-0.00102209708949497,-0.000665399176783801,-0.00137879500220613
-2.95,-0.00102172274913022,-0.000665200508788639,-0.00137824498947181
-2.949,-0.00102134840876548,-0.000665001840334701,-0.00137769497719626
-2.948,-0.00102097406840075,-0.000664803171421323,-0.00137714496538018
-2.947,-0.00102059972803603,-0.000664604502047823,-0.00137659495402424
-2.946,-0.00102022538767129,-0.000664405832213504,-0.00137604494312908
-2.945,-0.00101985104730655,-0.000664207161917689,-0.0013754949326954
-2.944,-0.00101947670694186,-0.000664008491159729,-0.00137494492272399
-2.943,-0.0010191023665771,-0.000663809819938864,-0.00137439491321533
-2.942,-0.00101872802621236,-0.000663611148254475,-0.00137384490417025
-2.941,-0.00101835368584763,-0.000663412476105845,-0.00137329489558942
-2.94,-0.00101797934548291,-0.000663213803492291,-0.00137274488747353
-2.939,-0.00101760500511815,-0.000663015130413098,-0.00137219487982319
-2.938,-0.00101723066475343,-0.000662816456867623,-0.00137164487263923
-2.937,-0.00101685632438871,-0.000662617782855142,-0.00137109486592228
-2.936,-0.00101648198402396,-0.000662419108374942,-0.00137054485967297
-2.935,-0.00101610764365923,-0.000662220433426366,-0.00136999485389209
-2.934,-0.0010157333032945,-0.000662021758008693,-0.0013694448485803
-2.933,-0.00101535896292978,-0.00066182308212123,-0.00136889484373833
-2.932,-0.00101498462256504,-0.000661624405763268,-0.00136834483936682
-2.931,-0.00101461028220031,-0.000661425728934111,-0.00136779483546651
-2.93,-0.00101423594183557,-0.000661227051633059,-0.00136724483203809
-2.929,-0.00101386160147085,-0.000661028373859401,-0.0013666948290823
-2.928,-0.00101348726110611,-0.000660829695612434,-0.00136614482659979
-2.927,-0.00101311292074138,-0.000660631016891455,-0.0013655948245913
-2.926,-0.00101273858037664,-0.000660432337695743,-0.00136504482305754
-2.925,-0.00101236424001191,-0.000660233658024597,-0.00136449482199922
-2.924,-0.00101198989964718,-0.000660034977877305,-0.00136394482141705
-2.923,-0.00101161555928247,-0.000659836297253167,-0.00136339482131178
-2.922,-0.00101124121891773,-0.000659637616151426,-0.00136284482168404
-2.921,-0.00101086687855299,-0.000659438934571397,-0.00136229482253458
-2.92,-0.00101049253818825,-0.000659240252512362,-0.00136174482386414
-2.919,-0.00101011819782352,-0.000659041569973598,-0.00136119482567343
-2.918,-0.0010097438574588,-0.000658842886954392,-0.0013606448279632
-2.917,-0.00100936951709407,-0.000658644203454006,-0.00136009483073413
-2.916,-0.00100899517672932,-0.00065844551947172,-0.00135954483398692
-2.915,-0.00100862083636458,-0.000658246835006818,-0.00135899483772234
-2.914,-0.00100824649599987,-0.000658048150058583,-0.00135844484194115
-2.913,-0.00100787215563513,-0.000657849464626264,-0.001357894846644
-2.912,-0.0010074978152704,-0.000657650778709141,-0.00135734485183166
-2.911,-0.00100712347490568,-0.000657452092306493,-0.00135679485750486
-2.91,-0.00100674913454093,-0.00065725340541757,-0.0013562448636643
-2.909,-0.00100637479417621,-0.000657054718041659,-0.00135569487031077
-2.908,-0.00100600045381147,-0.000656856030178004,-0.00135514487744494
-2.907,-0.00100562611344676,-0.000656657341825892,-0.00135459488506763
-2.906,-0.00100525177308201,-0.000656458652984557,-0.00135404489317947
-2.905,-0.00100487743271728,-0.000656259963653277,-0.00135349490178128
-2.904,-0.00100450309235254,-0.000656061273831302,-0.00135294491087377
-2.903,-0.00100412875198782,-0.000655862583517914,-0.00135239492045772
-2.902,-0.00100375441162309,-0.000655663892712342,-0.00135184493053384
-2.901,-0.00100338007125838,-0.00065546520141386,-0.00135129494110289
-2.9,-0.00100300573089361,-0.000655266509621679,-0.00135074495216554
-2.899,-0.00100263139052889,-0.000655067817335107,-0.00135019496372267
-2.898,-0.00100225705016414,-0.000654869124553361,-0.00134964497577493
-2.897,-0.00100188270979945,-0.000654670431275713,-0.00134909498832318
-2.896,-0.00100150836943467,-0.000654471737501369,-0.00134854500136798
-2.895,-0.00100113402906995,-0.000654273043229612,-0.00134799501491029
-2.894,-0.00100075968870523,-0.000654074348459681,-0.00134744502895078
-2.893,-0.00100038534834048,-0.000653875653190797,-0.00134689504349016
-2.892,-0.00100001100797575,-0.000653676957422224,-0.00134634505852928
-2.891,-0.00099963666761103,-0.000653478261153201,-0.00134579507406886
-2.89,-0.000999262327246295,-0.000653279564382948,-0.00134524509010964
-2.889,-0.000998887986881564,-0.000653080867110709,-0.00134469510665242
-2.888,-0.000998513646516847,-0.00065288216933573,-0.00134414512369796
-2.887,-0.000998139306152097,-0.00065268347105722,-0.00134359514124697
-2.886,-0.000997764965787376,-0.000652484772274442,-0.00134304515930031
-2.885,-0.00099739062542264,-0.000652286072986595,-0.00134249517785869
-2.884,-0.000997016285057893,-0.00065208737319292,-0.00134194519692287
-2.883,-0.000996641944693167,-0.000651888672892654,-0.00134139521649368
-2.882,-0.000996267604328434,-0.000651689972085015,-0.00134084523657185
-2.881,-0.000995893263963717,-0.000651491270769223,-0.00134029525715821
-2.88,-0.000995518923598967,-0.000651292568944498,-0.00133974527825344
-2.879,-0.00099514458323424,-0.00065109386661007,-0.00133919529985841
-2.878,-0.00099477024286953,-0.000650895163765164,-0.0013386453219739
-2.877,-0.000994395902504787,-0.00065069646040897,-0.0013380953446006
-2.876,-0.000994021562140044,-0.000650497756540721,-0.00133754536773937
-2.875,-0.000993647221775317,-0.000650299052159638,-0.001336995391391
-2.874,-0.000993272881410588,-0.000650100347264925,-0.00133644541555625
-2.873,-0.000992898541045856,-0.000649901641855796,-0.00133589544023592
-2.872,-0.000992524200681118,-0.000649702935931454,-0.00133534546543078
-2.871,-0.000992149860316403,-0.000649504229491116,-0.00133479549114169
-2.87,-0.000991775519951665,-0.000649305522533982,-0.00133424551736935
-2.869,-0.000991401179586923,-0.000649106815059249,-0.0013336955441146
-2.868,-0.000991026839222184,-0.000648908107066134,-0.00133314557137823
-2.867,-0.000990652498857459,-0.000648709398553837,-0.00133259559916108
-2.866,-0.000990278158492738,-0.000648510689521555,-0.00133204562746392
-2.865,-0.000989903818127998,-0.000648311979968482,-0.00133149565628751
-2.864,-0.000989529477763246,-0.000648113269893804,-0.00133094568563269
-2.863,-0.000989155137398537,-0.000647914559296755,-0.00133039571550032
-2.862,-0.000988780797033804,-0.000647715848176482,-0.00132984574589113
-2.861,-0.000988406456669063,-0.000647517136532197,-0.00132929577680593
-2.86,-0.000988032116304352,-0.000647318424363105,-0.0013287458082456
-2.859,-0.000987657775939601,-0.000647119711668355,-0.00132819584021085
-2.858,-0.000987283435574866,-0.00064692099844716,-0.00132764587270257
-2.857,-0.000986909095210148,-0.000646722284698716,-0.00132709590572158
-2.856,-0.000986534754845409,-0.000646523570422171,-0.00132654593926865
-2.855,-0.000986160414480685,-0.00064632485561674,-0.00132599597334463
-2.854,-0.000985786074115958,-0.000646126140281586,-0.00132544600795033
-2.853,-0.000985411733751197,-0.000645927424415873,-0.00132489604308652
-2.852,-0.000985037393386463,-0.000645728708018804,-0.00132434607875412
-2.851,-0.000984663053021748,-0.000645529991089551,-0.00132379611495394
-2.85,-0.000984288712657011,-0.000645331273627268,-0.00132324615168675
-2.849,-0.000983914372292288,-0.000645132555631149,-0.00132269618895343
-2.848,-0.000983540031927551,-0.000644933837100333,-0.00132214622675477
-2.847,-0.000983165691562822,-0.000644735118034022,-0.00132159626509162
-2.846,-0.000982791351198076,-0.000644536398431349,-0.0013210463039648
-2.845,-0.000982417010833362,-0.000644337678291516,-0.00132049634337521
-2.844,-0.000982042670468644,-0.000644138957613655,-0.00131994638332363
-2.843,-0.000981668330103896,-0.000643940236396924,-0.00131939642381087
-2.842,-0.000981293989739159,-0.000643741514640499,-0.00131884646483782
-2.841,-0.000980919649374427,-0.000643542792343535,-0.00131829650640532
-2.84,-0.000980545309009687,-0.000643344069505177,-0.0013177465485142
-2.839,-0.000980170968644959,-0.000643145346124598,-0.00131719659116532
-2.838,-0.000979796628280231,-0.000642946622200935,-0.00131664663435953
-2.837,-0.000979422287915486,-0.000642747897733332,-0.00131609667809764
-2.836,-0.000979047947550791,-0.000642549172720965,-0.00131554672238062
-2.835,-0.000978673607186018,-0.000642350447162934,-0.0013149967672091
-2.834,-0.000978299266821303,-0.000642151721058436,-0.00131444681258417
-2.833,-0.000977924926456576,-0.000641952994406579,-0.00131389685850657
-2.832,-0.000977550586091839,-0.000641754267206511,-0.00131334690497717
-2.831,-0.000977176245727111,-0.000641555539457387,-0.00131279695199684
-2.83,-0.000976801905362378,-0.000641356811158328,-0.00131224699956643
-2.829,-0.000976427564997658,-0.00064115808230848,-0.00131169704768684
-2.828,-0.000976053224632904,-0.00064095935290696,-0.00131114709635885
-2.827,-0.000975678884268177,-0.000640760622952916,-0.00131059714558344
-2.826,-0.000975304543903454,-0.000640561892445482,-0.00131004719536143
-2.825,-0.000974930203538725,-0.000640363161383779,-0.00130949724569367
-2.824,-0.000974555863173984,-0.000640164429766923,-0.00130894729658104
-2.823,-0.000974181522809249,-0.000639965697594055,-0.00130839734802444
-2.822,-0.000973807182444516,-0.000639766964864295,-0.00130784740002474
-2.821,-0.00097343284207979,-0.00063956823157677,-0.00130729745258281
-2.82,-0.000973058501715046,-0.000639369497730574,-0.00130674750569952
-2.819,-0.000972684161350318,-0.000639170763324855,-0.00130619755937578
-2.818,-0.000972309820985587,-0.000638972028358709,-0.00130564761361246
-2.817,-0.000971935480620871,-0.00063877329283127,-0.00130509766841047
-2.816,-0.000971561140256142,-0.000638574556741627,-0.00130454772377066
-2.815,-0.000971186799891385,-0.000638375820088889,-0.00130399777969388
-2.814,-0.000970812459526653,-0.000638177082872185,-0.00130344783618112
-2.813,-0.000970438119161927,-0.000637978345090619,-0.00130289789323323
-2.812,-0.000970063778797196,-0.00063777960674328,-0.00130234795085111
-2.811,-0.000969689438432465,-0.000637580867829278,-0.00130179800903565
-2.81,-0.000969315098067752,-0.000637382128347728,-0.00130124806778778
-2.809,-0.000968940757703002,-0.000637183388297693,-0.00130069812710831
-2.808,-0.000968566417338273,-0.000636984647678298,-0.00130014818699825
-2.807,-0.000968192076973536,-0.000636785906488636,-0.00129959824745844
-2.806,-0.000967817736608805,-0.000636587164727795,-0.00129904830848982
-2.805,-0.000967443396244079,-0.000636388422394867,-0.00129849837009329
-2.804,-0.000967069055879346,-0.00063618967948894,-0.00129794843226975
