"alt","spline_values","ci_upper","ci_lower"
-3,-0.00245754014541135,-0.00227700176042473,-0.00263807853039798
-2.999,-0.00245670217008141,-0.00227628160197359,-0.00263712273818923
-2.998,-0.00245586419475146,-0.00227556143740601,-0.00263616695209692
-2.997,-0.00245502621942151,-0.00227484126670998,-0.00263521117213304
-2.996,-0.00245418824409157,-0.0022741210898735,-0.00263425539830964
-2.995,-0.00245335026876162,-0.00227340090688449,-0.00263329963063875
-2.994,-0.00245251229343167,-0.00227268071773086,-0.00263234386913248
-2.993,-0.00245167431810173,-0.0022719605224005,-0.00263138811380295
-2.992,-0.00245083634277178,-0.00227124032088125,-0.00263043236466231
-2.991,-0.00244999836744183,-0.00227052011316093,-0.00262947662172273
-2.99,-0.00244916039211188,-0.00226979989922732,-0.00262852088499644
-2.989,-0.00244832241678194,-0.00226907967906818,-0.00262756515449569
-2.988,-0.00244748444145199,-0.00226835945267123,-0.00262660943023275
-2.987,-0.00244664646612204,-0.00226763922002416,-0.00262565371221992
-2.986,-0.00244580849079209,-0.00226691898111463,-0.00262469800046956
-2.985,-0.00244497051546215,-0.00226619873593027,-0.00262374229499403
-2.984,-0.0024441325401322,-0.00226547848445866,-0.00262278659580574
-2.983,-0.00244329456480225,-0.00226475822668738,-0.00262183090291712
-2.982,-0.00244245658947231,-0.00226403796260395,-0.00262087521634066
-2.981,-0.00244161861414236,-0.00226331769219588,-0.00261991953608884
-2.98,-0.00244078063881241,-0.00226259741545062,-0.0026189638621742
-2.979,-0.00243994266348246,-0.00226187713235562,-0.0026180081946093
-2.978,-0.00243910468815252,-0.00226115684289827,-0.00261705253340676
-2.977,-0.00243826671282257,-0.00226043654706594,-0.00261609687857919
-2.976,-0.00243742873749262,-0.00225971624484598,-0.00261514123013927
-2.975,-0.00243659076216267,-0.00225899593622567,-0.00261418558809968
-2.974,-0.00243575278683273,-0.00225827562119229,-0.00261322995247316
-2.973,-0.00243491481150278,-0.00225755529973308,-0.00261227432327248
-2.972,-0.00243407683617283,-0.00225683497183524,-0.00261131870051042
-2.971,-0.00243323886084288,-0.00225611463748594,-0.00261036308419983
-2.97,-0.00243240088551294,-0.00225539429667232,-0.00260940747435355
-2.969,-0.00243156291018299,-0.00225467394938148,-0.0026084518709845
-2.968,-0.00243072493485304,-0.00225395359560049,-0.00260749627410559
-2.967,-0.0024298869595231,-0.00225323323531639,-0.0026065406837298
-2.966,-0.00242904898419315,-0.00225251286851618,-0.00260558509987012
-2.965,-0.0024282110088632,-0.00225179249518682,-0.00260462952253958
-2.964,-0.00242737303353325,-0.00225107211531525,-0.00260367395175125
-2.963,-0.00242653505820331,-0.00225035172888838,-0.00260271838751823
-2.962,-0.00242569708287336,-0.00224963133589306,-0.00260176282985366
-2.961,-0.00242485910754341,-0.00224891093631613,-0.00260080727877069
-2.96,-0.00242402113221346,-0.00224819053014439,-0.00259985173428254
-2.959,-0.00242318315688352,-0.00224747011736459,-0.00259889619640245
-2.958,-0.00242234518155357,-0.00224674969796347,-0.00259794066514367
-2.957,-0.00242150720622362,-0.00224602927192772,-0.00259698514051953
-2.956,-0.00242066923089368,-0.00224530883924399,-0.00259602962254337
-2.955,-0.00241983125556373,-0.0022445883998989,-0.00259507411122855
-2.954,-0.00241899328023378,-0.00224386795387906,-0.0025941186065885
-2.953,-0.00241815530490383,-0.002243147501171,-0.00259316310863666
-2.952,-0.00241731732957389,-0.00224242704176125,-0.00259220761738652
-2.951,-0.00241647935424394,-0.00224170657563629,-0.00259125213285159
-2.95,-0.00241564137891399,-0.00224098610278256,-0.00259029665504543
-2.949,-0.00241480340358404,-0.00224026562318647,-0.00258934118398162
-2.948,-0.0024139654282541,-0.0022395451368344,-0.0025883857196738
-2.947,-0.00241312745292415,-0.00223882464371268,-0.00258743026213562
-2.946,-0.0024122894775942,-0.00223810414380762,-0.00258647481138078
-2.945,-0.00241145150226426,-0.00223738363710549,-0.00258551936742302
-2.944,-0.00241061352693431,-0.00223666312359251,-0.00258456393027611
-2.943,-0.00240977555160436,-0.00223594260325487,-0.00258360849995385
-2.942,-0.00240893757627441,-0.00223522207607874,-0.00258265307647009
-2.941,-0.00240809960094447,-0.00223450154205024,-0.0025816976598387
-2.94,-0.00240726162561452,-0.00223378100115544,-0.0025807422500736
-2.939,-0.00240642365028457,-0.0022330604533804,-0.00257978684718875
-2.938,-0.00240558567495463,-0.00223233989871112,-0.00257883145119813
-2.937,-0.00240474769962468,-0.00223161933713357,-0.00257787606211578
-2.936,-0.00240390972429473,-0.0022308987686337,-0.00257692067995576
-2.935,-0.00240307174896478,-0.0022301781931974,-0.00257596530473217
-2.934,-0.00240223377363484,-0.00222945761081052,-0.00257500993645915
-2.933,-0.00240139579830489,-0.0022287370214589,-0.00257405457515087
-2.932,-0.00240055782297494,-0.00222801642512831,-0.00257309922082157
-2.931,-0.00239971984764499,-0.00222729582180451,-0.00257214387348547
-2.93,-0.00239888187231505,-0.0022265752114732,-0.00257118853315689
-2.929,-0.0023980438969851,-0.00222585459412006,-0.00257023319985014
-2.928,-0.00239720592165515,-0.00222513396973071,-0.00256927787357959
-2.927,-0.00239636794632521,-0.00222441333829075,-0.00256832255435966
-2.926,-0.00239552997099526,-0.00222369269978574,-0.00256736724220477
-2.925,-0.00239469199566531,-0.0022229720542012,-0.00256641193712942
-2.924,-0.00239385402033536,-0.00222225140152259,-0.00256545663914813
-2.923,-0.00239301604500541,-0.00222153074173537,-0.00256450134827546
-2.922,-0.00239217806967547,-0.00222081007482493,-0.002563546064526
-2.921,-0.00239134009434552,-0.00222008940077664,-0.0025625907879144
-2.92,-0.00239050211901557,-0.00221936871957581,-0.00256163551845534
-2.919,-0.00238966414368563,-0.00221864803120773,-0.00256068025616352
-2.918,-0.00238882616835568,-0.00221792733565765,-0.00255972500105371
-2.917,-0.00238798819302573,-0.00221720663291076,-0.0025587697531407
-2.916,-0.00238715021769578,-0.00221648592295224,-0.00255781451243933
-2.915,-0.00238631224236584,-0.0022157652057672,-0.00255685927896447
-2.914,-0.00238547426703589,-0.00221504448134073,-0.00255590405273105
-2.913,-0.00238463629170594,-0.00221432374965787,-0.00255494883375401
-2.912,-0.002383798316376,-0.00221360301070364,-0.00255399362204836
-2.911,-0.00238296034104605,-0.00221288226446297,-0.00255303841762912
-2.91,-0.0023821223657161,-0.00221216151092082,-0.00255208322051138
-2.909,-0.00238128439038615,-0.00221144075006205,-0.00255112803071026
-2.908,-0.00238044641505621,-0.00221071998187151,-0.00255017284824091
