"alt","spline_values","ci_upper","ci_lower"
-3,-0.000641558834475751,-0.000560519594254036,-0.000722598074697466
-2.999,-0.000641301175735021,-0.000560288482947709,-0.000722313868522333
-2.998,-0.000641043490299267,-0.000560057243545906,-0.000722029737052628
-2.997,-0.000640785778125709,-0.000559825876438124,-0.000721745679813294
-2.996,-0.00064052803917155,-0.000559594382014968,-0.000721461696328131
-2.995,-0.000640270273393993,-0.000559362760668171,-0.000721177786119814
-2.994,-0.000640012480750241,-0.000559131012790581,-0.000720893948709902
-2.993,-0.000639754661197518,-0.000558899138776182,-0.000720610183618853
-2.992,-0.000639496814693009,-0.000558667139020013,-0.000720326490366005
-2.991,-0.000639238941193936,-0.000558435013918249,-0.000720042868469624
-2.99,-0.000638981040657501,-0.000558202763868131,-0.00071975931744687
-2.989,-0.000638723113040906,-0.000557970389267971,-0.000719475836813841
-2.988,-0.000638465158301359,-0.000557737890517165,-0.000719192426085553
-2.987,-0.000638207176396074,-0.000557505268016173,-0.000718909084775975
-2.986,-0.00063794916728225,-0.00055727252216649,-0.000718625812398009
-2.985,-0.000637691130917095,-0.000557039653370673,-0.000718342608463518
-2.984,-0.000637433067257812,-0.000556806662032307,-0.000718059472483318
-2.983,-0.000637174976261617,-0.000556573548556022,-0.000717776403967211
-2.982,-0.000636916857885708,-0.000556340313347449,-0.000717493402423966
-2.981,-0.000636658712087292,-0.000556106956813247,-0.000717210467361337
-2.98,-0.000636400538823582,-0.000555873479361074,-0.00071692759828609
-2.979,-0.000636142338051771,-0.000555639881399585,-0.000716644794703958
-2.978,-0.000635884109729079,-0.000555406163338429,-0.00071636205611973
-2.977,-0.000635625853812718,-0.000555172325588249,-0.000716079382037187
-2.976,-0.00063536757025987,-0.000554938368560617,-0.000715796771959122
-2.975,-0.000635109259027757,-0.000554704292668115,-0.0007155142253874
-2.974,-0.000634850920073593,-0.000554470098324272,-0.000715231741822913
-2.973,-0.00063459255335457,-0.000554235785943547,-0.000714949320765594
-2.972,-0.000634334158827896,-0.000554001355941351,-0.000714666961714442
-2.971,-0.00063407573645079,-0.000553766808734035,-0.000714384664167545
-2.97,-0.000633817286180449,-0.000553532144738865,-0.000714102427622033
-2.969,-0.000633558807974077,-0.000553297364374017,-0.000713820251574137
-2.968,-0.000633300301788887,-0.000553062468058589,-0.000713538135519186
-2.967,-0.000633041767582083,-0.000552827456212569,-0.000713256078951597
-2.966,-0.000632783205310863,-0.000552592329256827,-0.000712974081364898
-2.965,-0.000632524614932453,-0.000552357087613147,-0.00071269214225176
-2.964,-0.000632265996404042,-0.000552121731704148,-0.000712410261103936
-2.963,-0.000632007349682842,-0.000551886261953341,-0.000712128437412344
-2.962,-0.000631748674726059,-0.000551650678785083,-0.000711846670667036
-2.961,-0.000631489971490907,-0.000551414982624598,-0.000711564960357217
-2.96,-0.000631231239934579,-0.000551179173897923,-0.000711283305971236
-2.959,-0.000630972480014286,-0.000550943253031947,-0.000711001706996624
-2.958,-0.000630713691687241,-0.000550707220454388,-0.000710720162920094
-2.957,-0.000630454874910643,-0.000550471076593764,-0.000710438673227522
-2.956,-0.000630196029641703,-0.000550234821879415,-0.000710157237403992
-2.955,-0.000629937155837632,-0.000549998456741475,-0.000709875854933789
-2.954,-0.000629678253455629,-0.000549761981610866,-0.000709594525300391
-2.953,-0.000629419322452893,-0.000549525396919287,-0.0007093132479865
-2.952,-0.000629160362786648,-0.000549288703099239,-0.000709032022474056
-2.951,-0.000628901374414088,-0.000549051900583961,-0.000708750848244216
-2.95,-0.000628642357292423,-0.000548814989807456,-0.00070846972477739
-2.949,-0.000628383311378864,-0.000548577971204491,-0.000708188651553236
-2.948,-0.00062812423663061,-0.000548340845210556,-0.000707907628050664
-2.947,-0.00062786513300487,-0.00054810361226188,-0.00070762665374786
-2.946,-0.000627606000458851,-0.00054786627279542,-0.000707345728122282
-2.945,-0.000627346838949763,-0.000547628827248851,-0.000707064850650675
