"alt","spline_values","ci_upper","ci_lower"
-3,-0.492304838978903,-0.408809945910669,-0.575799732047137
-2.999,-0.49205450193724,-0.408622883286935,-0.575486120587544
-2.998,-0.491804164895578,-0.40843581887349,-0.575172510917666
-2.997,-0.491553827853911,-0.408248752666251,-0.574858903041571
-2.996,-0.491303490812246,-0.408061684661133,-0.574545296963359
-2.995,-0.491053153770581,-0.407874614854033,-0.574231692687129
-2.994,-0.490802816728916,-0.407687543240834,-0.573918090216998
-2.993,-0.490552479687252,-0.407500469817411,-0.573604489557094
-2.992,-0.490302142645587,-0.407313394579623,-0.573290890711551
-2.991,-0.490051805603923,-0.407126317523317,-0.572977293684529
-2.99,-0.489801468562258,-0.406939238644328,-0.572663698480187
-2.989,-0.489551131520591,-0.406752157938479,-0.572350105102703
-2.988,-0.489300794478928,-0.406565075401581,-0.572036513556274
-2.987,-0.489050457437263,-0.406377991029428,-0.571722923845099
-2.986,-0.488800120395599,-0.406190904817807,-0.571409335973392
-2.985,-0.488549783353933,-0.406003816762488,-0.571095749945379
-2.984,-0.488299446312269,-0.40581672685923,-0.570782165765308
-2.983,-0.488049109270601,-0.405629635103779,-0.570468583437424
-2.982,-0.48779877222894,-0.40544254149187,-0.570155002966009
-2.981,-0.487548435187273,-0.405255446019218,-0.569841424355327
-2.98,-0.487298098145609,-0.405068348681535,-0.569527847609684
-2.979,-0.487047761103943,-0.404881249474511,-0.569214272733375
-2.978,-0.48679742406228,-0.404694148393829,-0.568900699730732
-2.977,-0.486547087020614,-0.404507045435152,-0.568587128606076
-2.976,-0.48629674997895,-0.40431994059414,-0.568273559363759
-2.975,-0.486046412937284,-0.404132833866432,-0.567959992008137
-2.974,-0.485796075895621,-0.403945725247654,-0.567646426543588
-2.973,-0.485545738853955,-0.40375861473342,-0.56733286297449
-2.972,-0.485295401812292,-0.403571502319333,-0.567019301305251
-2.971,-0.485045064770624,-0.403384388000974,-0.566705741540274
-2.97,-0.484794727728962,-0.403197271773928,-0.566392183683996
-2.969,-0.484544390687297,-0.403010153633746,-0.566078627740848
-2.968,-0.484294053645629,-0.402823033575974,-0.565765073715285
-2.967,-0.484043716603967,-0.402635911596151,-0.565451521611782
-2.966,-0.483793379562302,-0.402448787689792,-0.565137971434812
-2.965,-0.483543042520638,-0.402261661852401,-0.564824423188874
-2.964,-0.483292705478972,-0.402074534079473,-0.564510876878471
-2.963,-0.483042368437307,-0.401887404366483,-0.564197332508131
-2.962,-0.48279203139564,-0.401700272708894,-0.563883790082387
-2.961,-0.482541694353978,-0.401513139102157,-0.563570249605798
-2.96,-0.482291357312313,-0.401326003541706,-0.56325671108292
-2.959,-0.482041020270649,-0.401138866022962,-0.562943174518335
-2.958,-0.481790683228982,-0.400951726541334,-0.562629639916631
-2.957,-0.481540346187319,-0.400764585092216,-0.562316107282423
-2.956,-0.481290009145653,-0.400577441670979,-0.562002576620326
-2.955,-0.481039672103987,-0.400390296272994,-0.56168904793498
-2.954,-0.480789335062322,-0.400203148893611,-0.561375521231034
-2.953,-0.48053899802066,-0.400015999528165,-0.561061996513155
-2.952,-0.480288660978993,-0.399828848171972,-0.560748473786015
-2.951,-0.480038323937329,-0.399641694820342,-0.560434953054316
-2.95,-0.479787986895665,-0.399454539468569,-0.560121434322761
-2.949,-0.479537649853998,-0.399267382111923,-0.559807917596074
-2.948,-0.479287312812334,-0.399080222745674,-0.559494402878994
-2.947,-0.479036975770672,-0.398893061365067,-0.559180890176276
-2.946,-0.478786638729005,-0.398705897965329,-0.55886737949268
-2.945,-0.478536301687339,-0.398518732541685,-0.558553870832993
-2.944,-0.478285964645678,-0.398331565089337,-0.558240364202018
-2.943,-0.478035627604012,-0.398144395603469,-0.557926859604556
