"alt","spline_values","ci_upper","ci_lower"
-3,-0.132989187707369,-0.0988077159514001,-0.167170659463337
-2.999,-0.132937139217794,-0.0987824366427738,-0.167091841792814
-2.998,-0.132885090728218,-0.0987571553569112,-0.167013026099525
-2.997,-0.132833042238643,-0.0987318720891581,-0.166934212388127
-2.996,-0.132780993749068,-0.0987065868348428,-0.166855400663292
-2.995,-0.132728945259492,-0.098681299589281,-0.166776590929703
-2.994,-0.132676896769916,-0.0986560103477739,-0.166697783192059
-2.993,-0.132624848280341,-0.0986307191056081,-0.166618977455074
-2.992,-0.132572799790765,-0.0986054258580553,-0.166540173723476
-2.991,-0.13252075130119,-0.0985801306003735,-0.166461372002007
-2.99,-0.132468702811615,-0.098554833327805,-0.166382572295424
-2.989,-0.132416654322039,-0.0985295340355782,-0.1663037746085
-2.988,-0.132364605832464,-0.0985042327189071,-0.16622497894602
-2.987,-0.132312557342888,-0.09847892937299,-0.166146185312787
-2.986,-0.132260508853313,-0.0984536239930105,-0.166067393713615
-2.985,-0.132208460363737,-0.098428316574138,-0.165988604153337
-2.984,-0.132156411874162,-0.0984030071115269,-0.165909816636798
-2.983,-0.132104363384586,-0.0983776956003152,-0.165831031168858
-2.982,-0.132052314895011,-0.0983523820356281,-0.165752247754395
-2.981,-0.132000266405436,-0.0983270664125737,-0.165673466398297
-2.98,-0.13194821791586,-0.0983017487262463,-0.165594687105474
-2.979,-0.131896169426285,-0.0982764289717243,-0.165515909880845
-2.978,-0.131844120936709,-0.0982511071440702,-0.165437134729349
-2.977,-0.131792072447134,-0.0982257832383329,-0.165358361655935
-2.976,-0.131740023957558,-0.0982004572495449,-0.165279590665572
-2.975,-0.131687975467983,-0.0981751291727222,-0.165200821763244
-2.974,-0.131635926978408,-0.0981497990028675,-0.165122054953948
-2.973,-0.131583878488832,-0.0981244667349662,-0.165043290242698
-2.972,-0.131531829999257,-0.0980991323639878,-0.164964527634526
-2.971,-0.131479781509681,-0.0980737958848888,-0.164885767134474
-2.97,-0.131427733020106,-0.0980484572926068,-0.164807008747605
-2.969,-0.13137568453053,-0.0980231165820655,-0.164728252478995
-2.968,-0.131323636040955,-0.0979977737481713,-0.164649498333739
-2.967,-0.13127158755138,-0.0979724287858161,-0.164570746316943
-2.966,-0.131219539061804,-0.0979470816898748,-0.164491996433734
-2.965,-0.131167490572229,-0.0979217324552069,-0.164413248689251
-2.964,-0.131115442082653,-0.0978963810766552,-0.164334503088651
-2.963,-0.131063393593078,-0.0978710275490474,-0.164255759637108
-2.962,-0.131011345103502,-0.0978456718671932,-0.164177018339812
-2.961,-0.130959296613927,-0.0978203140258877,-0.164098279201966
-2.96,-0.130907248124352,-0.0977949540199085,-0.164019542228795
-2.959,-0.130855199634776,-0.0977695918440175,-0.163940807425535
-2.958,-0.130803151145201,-0.0977442274929592,-0.163862074797442
-2.957,-0.130751102655625,-0.0977188609614631,-0.163783344349788
-2.956,-0.13069905416605,-0.0976934922442404,-0.163704616087859
-2.955,-0.130647005676474,-0.0976681213359868,-0.163625890016962
-2.954,-0.130594957186899,-0.0976427482313809,-0.163547166142417
-2.953,-0.130542908697323,-0.0976173729250838,-0.163468444469563
-2.952,-0.130490860207748,-0.0975919954117409,-0.163389725003755
-2.951,-0.130438811718173,-0.0975666156859798,-0.163311007750366
-2.95,-0.130386763228597,-0.097541233742412,-0.163232292714783
-2.949,-0.130334714739022,-0.0975158495756303,-0.163153579902413
-2.948,-0.130282666249447,-0.097490463180213,-0.16307486931868
-2.947,-0.130230617759871,-0.0974650745507179,-0.162996160969024
-2.946,-0.130178569270296,-0.0974396836816882,-0.162917454858903
